"team","line","underdog","week","timestamp"
"USF",NA,NA,1,2017-08-19 10:50:06
"Kentucky",-10,0,1,2017-08-19 10:50:06
"Southern Miss",10,1,1,2017-08-19 10:50:06
"Western Michigan",27,1,1,2017-08-19 10:50:06
"USC",-27,0,1,2017-08-19 10:50:06
"Albany-NY",NA,NA,1,2017-08-19 10:50:06
"Old Dominion",NA,NA,1,2017-08-19 10:50:06
"North Carolina Central",NA,NA,1,2017-08-19 10:50:06
"Duke",NA,NA,1,2017-08-19 10:50:06
"James Madison",NA,NA,1,2017-08-19 10:50:06
"East Carolina",NA,NA,1,2017-08-19 10:50:06
"Appalachian State",14,1,1,2017-08-19 10:50:06
"Georgia",-14,0,1,2017-08-19 10:50:06
"Miami-OH",0,0,1,2017-08-19 10:50:06
"Marshall",0,0,1,2017-08-19 10:50:06
"Houston",-13,0,1,2017-08-19 10:50:06
"UTSA",13,1,1,2017-08-19 10:50:06
"Lamar",NA,NA,1,2017-08-19 10:50:06
"North Texas",NA,NA,1,2017-08-19 10:50:06
"Houston Baptist",NA,NA,1,2017-08-19 10:50:06
"Texas State",NA,NA,1,2017-08-19 10:50:06
"Liberty",NA,NA,1,2017-08-19 10:50:06
"Baylor",NA,NA,1,2017-08-19 10:50:06
"Southeast Missouri State",NA,NA,1,2017-08-19 10:50:06
"Kansas",NA,NA,1,2017-08-19 10:50:06
"Eastern Kentucky",NA,NA,1,2017-08-19 10:50:06
"WKU",NA,NA,1,2017-08-19 10:50:06
"Southeastern Louisiana",NA,NA,1,2017-08-19 10:50:06
"Louisiana-Lafayette",NA,NA,1,2017-08-19 10:50:06
"Massachusetts",NA,NA,1,2017-08-19 10:50:06
"Coastal Carolina",NA,NA,1,2017-08-19 10:50:06
"Northwestern State",NA,NA,1,2017-08-19 10:50:06
"LA Tech",NA,NA,1,2017-08-19 10:50:06
"Hampton",NA,NA,1,2017-08-19 10:50:06
"Ohio",NA,NA,1,2017-08-19 10:50:06
"Central Arkansas",NA,NA,1,2017-08-19 10:50:06
"Kansas State",NA,NA,1,2017-08-19 10:50:06
"South Alabama",26,1,1,2017-08-19 10:50:06
"Ole Miss",-26,0,1,2017-08-19 10:50:06
"Louisville",-25,0,1,2017-08-19 10:50:06
"Purdue",25,1,1,2017-08-19 10:50:06
"Georgia Southern",34.5,1,1,2017-08-19 10:50:06
"Auburn",-34.5,0,1,2017-08-19 10:50:06
"Cal Poly",NA,NA,1,2017-08-19 10:50:06
"San Jose State",NA,NA,1,2017-08-19 10:50:06
"Alabama",-7,0,1,2017-08-19 10:50:06
"Florida State",7,1,1,2017-08-19 10:50:06
"Vanderbilt",-5,0,1,2017-08-19 10:50:06
"Middle Tennessee",5,1,1,2017-08-19 10:50:06
"Arkansas State",16,1,1,2017-08-19 10:50:06
"Nebraska",-16,0,1,2017-08-19 10:50:06
"Jackson State",NA,NA,1,2017-08-19 10:50:06
"TCU",NA,NA,1,2017-08-19 10:50:06
"Northern Iowa",NA,NA,1,2017-08-19 10:50:06
"Iowa State",NA,NA,1,2017-08-19 10:50:06
"Stephen F. Austin",NA,NA,1,2017-08-19 10:50:06
"SMU",NA,NA,1,2017-08-19 10:50:06
"Abilene Christian",NA,NA,1,2017-08-19 10:50:06
"New Mexico",NA,NA,1,2017-08-19 10:50:06
"Grambling State",NA,NA,1,2017-08-19 10:50:06
"Tulane",NA,NA,1,2017-08-19 10:50:06
"Southern Utah",NA,NA,1,2017-08-19 10:50:06
"Oregon",NA,NA,1,2017-08-19 10:50:06
"UC Davis",NA,NA,1,2017-08-19 10:50:06
"San Diego State",NA,NA,1,2017-08-19 10:50:06
"Howard",NA,NA,1,2017-08-19 10:50:06
"UNLV",NA,NA,1,2017-08-19 10:50:06
"LSU",-13,0,1,2017-08-19 10:50:06
"BYU",13,1,1,2017-08-19 10:50:06
"Incarnate Word",NA,NA,1,2017-08-19 10:50:06
"Fresno State",NA,NA,1,2017-08-19 10:50:06
"Montana State",NA,NA,1,2017-08-19 10:50:06
"Washington State",NA,NA,1,2017-08-19 10:50:06
"Northern Arizona",NA,NA,1,2017-08-19 10:50:06
"Arizona",NA,NA,1,2017-08-19 10:50:06
"Western Carolina",NA,NA,1,2017-08-19 10:50:06
"Hawaii",NA,NA,1,2017-08-19 10:50:06
"West Virginia",4.5,1,1,2017-08-19 10:50:06
"Virginia Tech",-4.5,0,1,2017-08-19 10:50:06
"Texas A&M",3,1,1,2017-08-19 10:50:06
"UCLA",-3,0,1,2017-08-19 10:50:06
"Tennessee",-3,0,1,2017-08-19 10:50:06
"Georgia Tech",3,1,1,2017-08-19 10:50:06
