"egame_id","game_id","away_team","away_score","home_team","home_score","favorite","final_spread","status","winner","is.upset","update.ts"
400944834,132,"NMSU",30,"UNM",28,"UNM",7.5,"Final","NMSU",1,2017-09-10 21:01:34
400944835,149,"ALST",7,"TROY",34,"TROY",44.5,"Final","TROY",0,2017-09-10 21:01:34
400944893,95,"UAPB",3,"AKR",52,"AKR",49,"Final","AKR",0,2017-09-10 21:01:34
400944894,126,"PEAY",10,"M-OH",31,"M-OH",35.5,"Final","M-OH",0,2017-09-10 21:01:34
400944895,134,"EIU",10,"NIU",38,"NIU",14,"Final","NIU",0,2017-09-10 21:01:34
400944896,122,"HOW",31,"KENT",38,"KENT",23.5,"Final","KENT",0,2017-09-10 21:01:34
400944897,105,"SDAK",35,"BGSU",27,"BGSU",3.5,"Final","SDAK",1,2017-09-10 21:01:34
400944898,131,"TOL",37,"NEV",24,"TOL",11,"Final","TOL",0,2017-09-10 21:01:34
400945253,93,"IDST",13,"USU",51,"USU",35,"Final","USU",0,2017-09-10 21:01:34
400945254,110,"ACU",10,"CSU",38,"CSU",43,"Final","CSU",0,2017-09-10 21:01:34
400945255,163,"WEBB",0,"WYO",27,"WYO",38.5,"Final","WYO",0,2017-09-10 21:01:34
