"game_id","matchup","time","favorite","espn_spread","oddshark_spread","spread","update.ts"
93,"Idaho State @ Utah State"," 20:00:00","USU",30,29.5,30,2017-09-07 12:41:53
94,"Ohio @ Purdue"," 20:00:00","PUR",3.5,3.5,3.5,2017-09-07 12:41:53
96,"Fresno State @ Alabama"," 15:30:00","ALA",43.5,44,43.5,2017-09-07 12:41:53
98,"Houston @ Arizona"," 22:30:00","HOU",1,1.5,1,2017-09-07 12:41:53
99,"San Diego State @ Arizona State"," 23:00:00","ASU",3.5,4,3.5,2017-09-07 12:41:53
100,"TCU @ Arkansas"," 15:30:00","TCU",3,3.5,3,2017-09-07 12:41:53
102,"UAB @ Ball State"," 15:00:00","BALL",14,14,14,2017-09-07 12:41:53
103,"UT San Antonio @ Baylor"," 20:00:00","BAY",17,17.5,17,2017-09-07 12:41:53
104,"Wake Forest @ Boston College"," 13:00:00","BC",1.5,NA,1.5,2017-09-07 12:41:53
106,"Utah @ BYU"," 22:15:00","UTAH",1.5,1,1.5,2017-09-07 12:41:53
108,"Auburn @ Clemson"," 19:00:00","CLEM",5,5.5,5,2017-09-07 12:41:53
109,"Texas State @ Colorado"," 14:00:00","COLO",35.5,36,35.5,2017-09-07 12:41:53
111,"South Florida @ Connecticut"," 10:30:00","USF",17,17,17,2017-09-07 12:41:53
112,"Northwestern @ Duke"," 12:00:00","NW",3,3,3,2017-09-07 12:41:53
115,"Louisiana Monroe @ Florida State"," 12:00:00","FSU",34.5,34,34.5,2017-09-07 12:41:53
117,"UNLV @ Idaho"," 19:00:00","IDHO",6.5,6,6.5,2017-09-07 12:41:53
118,"Western Kentucky @ Illinois"," 20:00:00","WKU",7.5,7.5,7.5,2017-09-07 12:41:53
119,"Iowa @ Iowa State"," 12:00:00","IOWA",2.5,2.5,2.5,2017-09-07 12:41:53
120,"Central Michigan @ Kansas"," 16:00:00","KU",5.5,5.5,5.5,2017-09-07 12:41:53
121,"Charlotte @ Kansas State"," 12:00:00","KSU",36.5,36,36.5,2017-09-07 12:41:53
127,"Cincinnati @ Michigan"," 12:00:00","MICH",34.5,34.5,34.5,2017-09-07 12:41:53
128,"Western Michigan @ Michigan State"," 15:30:00","MSU",7,7,7,2017-09-07 12:41:53
129,"South Carolina @ Missouri"," 19:00:00","MIZ",2.5,2.5,2.5,2017-09-07 12:41:53
130,"Marshall @ NC State"," 18:00:00","NCST",24.5,24.5,24.5,2017-09-07 12:41:53
131,"Toledo @ Nevada"," 19:00:00","TOL",9.5,9.5,9.5,2017-09-07 12:41:53
132,"New Mexico State @ New Mexico"," 20:00:00","UNM",7,7,7,2017-09-07 12:41:53
133,"Louisville @ North Carolina"," 12:00:00","LOU",10,9.5,10,2017-09-07 12:41:53
135,"Oklahoma @ Ohio State"," 19:30:00","OSU",7,7.5,7,2017-09-07 12:41:53
137,"Nebraska @ Oregon"," 16:30:00","ORE",13.5,14,13.5,2017-09-07 12:41:53
138,"Minnesota @ Oregon State"," 22:00:00","ORST",2,2,2,2017-09-07 12:41:53
139,"Pittsburgh @ Penn State"," 15:30:00","PSU",22,21,22,2017-09-07 12:41:53
140,"Eastern Michigan @ Rutgers"," 15:30:00","RUTG",5.5,5.5,5.5,2017-09-07 12:41:53
141,"North Texas @ SMU"," 19:00:00","SMU",13,13,13,2017-09-07 12:41:53
142,"Oklahoma State @ South Alabama"," 20:00:00","OKST",28,28,28,2017-09-07 12:41:53
144,"Middle Tennessee @ Syracuse"," 15:30:00","SYR",9.5,10,9.5,2017-09-07 12:41:53
147,"San José State @ Texas"," 15:30:00","TEX",26,26.5,26,2017-09-07 12:41:53
150,"Louisiana @ Tulsa"," 16:00:00","TLSA",14.5,14,14.5,2017-09-07 12:41:53
151,"Memphis @ UCF"," 18:30:00","UCF",3,3.5,3,2017-09-07 12:41:53
152,"Hawai'i @ UCLA"," 17:00:00","UCLA",23.5,23.5,23.5,2017-09-07 12:41:53
153,"Old Dominion @ UMass"," 15:30:00","ODU",3.5,3.5,3.5,2017-09-07 12:41:53
154,"Stanford @ USC"," 20:30:00","USC",6.5,6.5,6.5,2017-09-07 12:41:53
155,"Rice @ UTEP"," 20:00:00","UTEP",1.5,1.5,1.5,2017-09-07 12:41:53
157,"Indiana @ Virginia"," 15:30:00","IND",3,3,3,2017-09-07 12:41:53
160,"Boise State @ Washington State"," 22:30:00","WSU",10,10.5,10,2017-09-07 12:41:53
161,"East Carolina @ West Virginia"," 12:00:00","WVU",24,24,24,2017-09-07 12:41:53
162,"Florida Atlantic @ Wisconsin"," 12:00:00","WIS",32,32,32,2017-09-07 12:41:53
164,"Buffalo @ Army"," 12:00:00","ARMY",16.5,16.5,16.5,2017-09-07 12:41:53
165,"Tulane @ Navy"," 15:30:00","NAVY",13,13,13,2017-09-07 12:41:53
168,"Mississippi State @ Louisiana Tech"," 19:30:00","MSST",8.5,8,8.5,2017-09-07 12:41:53
169,"Georgia @ Notre Dame"," 19:30:00","ND",4,4.5,4,2017-09-07 12:41:53
