"egame_id","dates","away","home","away_short","home_short","favorite","spread","update_ts"
400935253,2017-09-03 00:15:00,"Southern Utah","Oregon","SUU","ORE","","",2017-08-26 03:49:08
400935254,2017-09-02 18:00:00,"Portland State","Oregon State","PRST","ORST","","",2017-08-26 03:49:08
400935255,2017-09-03 02:30:00,"Montana State","Washington State","MTST","WSU","","",2017-08-26 03:49:08
400935256,2017-09-02 16:20:00,"California","North Carolina","CAL","UNC","UNC","-11.5",2017-08-26 03:49:08
400935257,2017-08-27 02:00:00,"Stanford","Rice","STAN","RICE","STAN","-30.5",2017-08-26 03:49:08
400935282,2017-08-26 18:30:00,"Oregon State","Colorado State","ORST","CSU","CSU","-4.0",2017-08-26 03:49:08
400937445,2017-08-31 22:30:00,"Presbyterian College","Wake Forest","PRE","WAKE","","",2017-08-26 03:49:08
400937446,2017-09-02 01:30:00,"Boston College","Northern Illinois","BC","NIU","BC","-2.5",2017-08-26 03:49:08
400937447,2017-09-02 16:00:00,"Kent State","Clemson","KENT","CLEM","CLEM","-1.0",2017-08-26 03:49:08
400937448,2017-09-02 22:00:00,"North Carolina Central","Duke","NCCU","DUKE","","",2017-08-26 03:49:08
400937449,2017-09-02 16:30:00,"Bethune-Cookman","Miami","BCU","MIAMI","","",2017-08-26 03:49:08
400937450,2017-09-02 17:00:00,"Youngstown State","Pittsburgh","YSU","PITT","","",2017-08-26 03:49:08
400937451,2017-09-01 23:00:00,"Central Connecticut","Syracuse","CCSU","SYR","","",2017-08-26 03:49:08
400937452,2017-09-02 19:30:00,"William & Mary","Virginia","W&M","UVA","","",2017-08-26 03:49:08
400938591,2017-08-31 22:00:00,"Florida Intl","UCF","FIU","UCF","UCF","-17.5",2017-08-26 03:49:08
400938592,2017-09-02 00:00:00,"Navy","Florida Atlantic","NAVY","FAU","NAVY","-11.0",2017-08-26 03:49:08
400938593,2017-09-02 23:00:00,"Northwestern State","Louisiana Tech","NWST","LT","","",2017-08-26 03:49:08
400938594,2017-09-02 22:30:00,"Miami (OH)","Marshall","M-OH","MRSH","","",2017-08-26 03:49:08
400938595,2017-09-02 23:00:00,"Lamar","North Texas","LAM","UNT","","",2017-08-26 03:49:08
400938596,2017-09-02 22:00:00,"Albany","Old Dominion","ALBY","ODU","","",2017-08-26 03:49:08
400938597,2017-09-02 19:30:00,"Alabama A&M","UAB","AAMU","UAB","","",2017-08-26 03:49:08
400938598,2017-09-02 23:00:00,"Houston","UT San Antonio","HOU","UTSA","HOU","-11.0",2017-08-26 03:49:08
400938599,2017-09-02 23:00:00,"Eastern Kentucky","Western Kentucky","EKY","WKU","","",2017-08-26 03:49:08
400938887,2017-08-26 22:00:00,"Hawai'i","UMass","HAW","UMASS","UMASS","-2.5",2017-08-26 03:49:08
400938888,2017-09-02 23:00:00,"UMass","Coastal Carolina","UMASS","CCU","","",2017-08-26 03:49:08
400941786,2017-08-26 23:30:00,"South Florida","San José State","USF","SJSU","USF","-21.5",2017-08-26 03:49:08
400941787,2017-08-31 23:00:00,"Austin Peay","Cincinnati","PEAY","CIN","","",2017-08-26 03:49:08
400941788,2017-08-31 23:30:00,"Holy Cross","Connecticut","HC","CONN","","",2017-08-26 03:49:08
400941789,2017-09-01 01:00:00,"Louisiana Monroe","Memphis","ULM","MEM","MEM","-27.0",2017-08-26 03:49:08
400941790,2017-09-02 22:00:00,"James Madison","East Carolina","JMU","ECU","","",2017-08-26 03:49:08
400941791,2017-09-02 20:00:00,"Stony Brook","South Florida","STON","USF","","",2017-08-26 03:49:08
400941792,2017-09-02 23:00:00,"Stephen F. Austin","SMU","SFA","SMU","","",2017-08-26 03:49:08
400941793,2017-09-03 00:00:00,"Grambling","Tulane","GRAM","TULN","","",2017-08-26 03:49:08
400944826,2017-08-31 23:00:00,"Tennessee State","Georgia State","TNST","GAST","","",2017-08-26 03:49:08
400944827,2017-09-01 01:00:00,"Sacramento State","Idaho","SAC","IDHO","","",2017-08-26 03:49:08
400944828,2017-09-02 23:00:00,"Southeastern Louisiana","Louisiana","SELA","ULL","","",2017-08-26 03:49:08
400944829,2017-09-02 23:00:00,"Houston Baptist","Texas State","HBU","TXST","","",2017-08-26 03:49:08
400944830,2017-09-02 19:45:00,"Troy","Boise State","TROY","BSU","BSU","-12.0",2017-08-26 03:49:08
400944889,2017-08-31 23:00:00,"Elon","Toledo","ELON","TOL","","",2017-08-26 03:49:08
400944890,2017-08-31 23:00:00,"Rhode Island","Central Michigan","URI","CMU","","",2017-08-26 03:49:08
400944891,2017-09-01 22:30:00,"Charlotte","Eastern Michigan","CHAR","EMU","EMU","-14.0",2017-08-26 03:49:08
400944892,2017-09-02 23:00:00,"Hampton","Ohio","HAMP","OHIO","","",2017-08-26 03:49:08
400945031,2017-08-26 19:00:00,"Portland State","BYU","PRST","BYU","","",2017-08-26 03:49:08
400945246,2017-09-02 18:00:00,"VMI","Air Force","VMI","AFA","","",2017-08-26 03:49:08
400945247,2017-09-03 00:00:00,"Abilene Christian","New Mexico","ACU","UNM","","",2017-08-26 03:49:08
400945248,2017-09-03 02:00:00,"Incarnate Word","Fresno State","IW","FRES","","",2017-08-26 03:49:08
400945249,2017-09-03 03:59:00,"Western Carolina","Hawai'i","WCU","HAW","","",2017-08-26 03:49:08
400945250,2017-09-03 00:30:00,"UC Davis","San Diego State","UCD","SDSU","","",2017-08-26 03:49:08
400945251,2017-09-02 23:30:00,"Cal Poly","San José State","CP","SJSU","","",2017-08-26 03:49:08
400945252,2017-09-03 01:00:00,"Howard","UNLV","HOW","UNLV","","",2017-08-26 03:49:08
