"game_id","spread","update_ts"
1,NA,2017-08-22 17:50:27
2,"1.5",2017-08-22 17:50:27
3,"3.5",2017-08-22 17:50:27
4,"20.5",2017-08-22 17:50:27
6,"23.5",2017-08-22 17:50:27
7,NA,2017-08-22 17:50:27
8,NA,2017-08-22 17:50:27
9,NA,2017-08-22 17:50:27
10,NA,2017-08-22 17:50:27
11,"20",2017-08-22 17:50:27
12,"27",2017-08-22 17:50:27
13,"26.5",2017-08-22 17:50:27
14,NA,2017-08-22 17:50:27
15,NA,2017-08-22 17:50:27
16,NA,2017-08-22 17:50:27
17,NA,2017-08-22 17:50:27
18,NA,2017-08-22 17:50:27
19,"13.5",2017-08-22 17:50:27
20,"2.5",2017-08-22 17:50:27
21,"30.5",2017-08-22 17:50:27
22,NA,2017-08-22 17:50:27
23,"28.5",2017-08-22 17:50:27
25,NA,2017-08-22 17:50:27
26,"12.5",2017-08-22 17:50:27
27,NA,2017-08-22 17:50:27
28,NA,2017-08-22 17:50:27
29,"34.5",2017-08-22 17:50:27
30,NA,2017-08-22 17:50:27
31,"12.5",2017-08-22 17:50:27
32,"38.5",2017-08-22 17:50:27
33,NA,2017-08-22 17:50:27
34,NA,2017-08-22 17:50:27
35,NA,2017-08-22 17:50:27
36,NA,2017-08-22 17:50:27
37,"13.5",2017-08-22 17:50:27
38,NA,2017-08-22 17:50:27
39,"7.5",2017-08-22 17:50:27
40,"12.5",2017-08-22 17:50:27
41,NA,2017-08-22 17:50:27
42,NA,2017-08-22 17:50:27
43,NA,2017-08-22 17:50:27
44,NA,2017-08-22 17:50:27
45,NA,2017-08-22 17:50:27
46,"0",2017-08-22 17:50:27
47,NA,2017-08-22 17:50:27
48,"18",2017-08-22 17:50:27
49,NA,2017-08-22 17:50:27
50,NA,2017-08-22 17:50:27
51,"16",2017-08-22 17:50:27
52,NA,2017-08-22 17:50:27
53,"10.5",2017-08-22 17:50:27
54,NA,2017-08-22 17:50:27
55,"23.5",2017-08-22 17:50:27
56,"44.5",2017-08-22 17:50:27
57,"17",2017-08-22 17:50:27
58,NA,2017-08-22 17:50:27
59,"24",2017-08-22 17:50:27
60,NA,2017-08-22 17:50:27
61,NA,2017-08-22 17:50:27
62,"33",2017-08-22 17:50:27
63,NA,2017-08-22 17:50:27
64,NA,2017-08-22 17:50:27
65,NA,2017-08-22 17:50:27
66,NA,2017-08-22 17:50:27
67,"17",2017-08-22 17:50:27
68,NA,2017-08-22 17:50:27
69,NA,2017-08-22 17:50:27
70,NA,2017-08-22 17:50:27
72,NA,2017-08-22 17:50:27
73,"27",2017-08-22 17:50:27
74,NA,2017-08-22 17:50:27
75,"13",2017-08-22 17:50:27
76,NA,2017-08-22 17:50:27
77,NA,2017-08-22 17:50:27
78,NA,2017-08-22 17:50:27
79,"3",2017-08-22 17:50:27
84,NA,2017-08-22 17:50:27
85,"15",2017-08-22 17:50:27
86,"10",2017-08-22 17:50:27
87,NA,2017-08-22 17:50:27
88,"5",2017-08-22 17:50:27
89,NA,2017-08-22 17:50:27
90,"3",2017-08-22 17:50:27
