"game_id","spread","update_ts"
1,NA,2017-08-23 21:40:48
2,"2",2017-08-23 21:40:48
3,"3.5",2017-08-23 21:40:48
4,"21.5",2017-08-23 21:40:48
6,"23.5",2017-08-23 21:40:48
7,NA,2017-08-23 21:40:48
8,NA,2017-08-23 21:40:48
9,NA,2017-08-23 21:40:48
10,NA,2017-08-23 21:40:48
11,"20",2017-08-23 21:40:48
12,"27",2017-08-23 21:40:48
13,"26.5",2017-08-23 21:40:48
14,NA,2017-08-23 21:40:48
15,NA,2017-08-23 21:40:48
16,NA,2017-08-23 21:40:48
17,NA,2017-08-23 21:40:48
18,NA,2017-08-23 21:40:48
19,"13.5",2017-08-23 21:40:48
20,"2.5",2017-08-23 21:40:48
21,"30.5",2017-08-23 21:40:48
22,NA,2017-08-23 21:40:48
23,"28.5",2017-08-23 21:40:48
25,NA,2017-08-23 21:40:48
26,"11.5",2017-08-23 21:40:48
27,NA,2017-08-23 21:40:48
28,NA,2017-08-23 21:40:48
29,"34.5",2017-08-23 21:40:48
30,NA,2017-08-23 21:40:48
31,"11",2017-08-23 21:40:48
32,"38.5",2017-08-23 21:40:48
33,NA,2017-08-23 21:40:48
34,NA,2017-08-23 21:40:48
35,NA,2017-08-23 21:40:48
36,NA,2017-08-23 21:40:48
37,"13.5",2017-08-23 21:40:48
38,NA,2017-08-23 21:40:48
39,"7.5",2017-08-23 21:40:48
40,"12.5",2017-08-23 21:40:48
41,NA,2017-08-23 21:40:48
42,NA,2017-08-23 21:40:48
43,NA,2017-08-23 21:40:48
44,NA,2017-08-23 21:40:48
45,NA,2017-08-23 21:40:48
46,"0",2017-08-23 21:40:48
47,NA,2017-08-23 21:40:48
48,"18",2017-08-23 21:40:48
49,NA,2017-08-23 21:40:48
50,NA,2017-08-23 21:40:48
51,"16",2017-08-23 21:40:48
52,NA,2017-08-23 21:40:48
53,"10.5",2017-08-23 21:40:48
54,NA,2017-08-23 21:40:48
55,"24",2017-08-23 21:40:48
56,"44.5",2017-08-23 21:40:48
57,"17",2017-08-23 21:40:48
58,NA,2017-08-23 21:40:48
59,"24",2017-08-23 21:40:48
60,NA,2017-08-23 21:40:48
61,NA,2017-08-23 21:40:48
62,"33",2017-08-23 21:40:48
63,NA,2017-08-23 21:40:48
64,NA,2017-08-23 21:40:48
65,NA,2017-08-23 21:40:48
66,NA,2017-08-23 21:40:48
67,"17",2017-08-23 21:40:48
68,NA,2017-08-23 21:40:48
69,NA,2017-08-23 21:40:48
70,NA,2017-08-23 21:40:48
72,NA,2017-08-23 21:40:48
73,"27",2017-08-23 21:40:48
74,NA,2017-08-23 21:40:48
75,"11",2017-08-23 21:40:48
76,NA,2017-08-23 21:40:48
77,NA,2017-08-23 21:40:48
78,NA,2017-08-23 21:40:48
79,"3",2017-08-23 21:40:48
84,NA,2017-08-23 21:40:48
85,"15",2017-08-23 21:40:48
86,"10",2017-08-23 21:40:48
87,NA,2017-08-23 21:40:48
88,"5",2017-08-23 21:40:48
89,NA,2017-08-23 21:40:48
90,"3",2017-08-23 21:40:48
