"game_id","egame_id","favorite","espn_spread","oddshark_spread","update.ts"
1,NA,NA,NA,36.5,"2017-09-03 00:47:13"
3,NA,NA,NA,3.5,"2017-09-03 00:47:13"
5,NA,NA,NA,30,"2017-09-03 00:47:13"
6,NA,NA,NA,24.5,"2017-09-03 00:47:13"
7,NA,NA,NA,34.5,"2017-09-03 00:47:13"
8,NA,NA,NA,42,"2017-09-03 00:47:13"
10,NA,NA,NA,14.5,"2017-09-03 00:47:13"
11,NA,NA,NA,20.5,"2017-09-03 00:47:13"
13,NA,NA,NA,22,"2017-09-03 00:47:13"
14,NA,NA,NA,45,"2017-09-03 00:47:13"
15,NA,NA,NA,20,"2017-09-03 00:47:13"
17,NA,NA,NA,47,"2017-09-03 00:47:13"
18,NA,NA,NA,21.5,"2017-09-03 00:47:13"
19,NA,NA,NA,14,"2017-09-03 00:47:13"
21,NA,NA,NA,28,"2017-09-03 00:47:13"
23,NA,NA,NA,27.5,"2017-09-03 00:47:13"
24,NA,NA,NA,3,"2017-09-03 00:47:13"
25,NA,NA,NA,19,"2017-09-03 00:47:13"
26,NA,NA,NA,9,"2017-09-03 00:47:13"
27,NA,NA,NA,34.5,"2017-09-03 00:47:13"
28,NA,NA,NA,26.5,"2017-09-03 00:47:13"
29,NA,NA,NA,34,"2017-09-03 00:47:13"
30,NA,NA,NA,34.5,"2017-09-03 00:47:13"
31,NA,NA,NA,10.5,"2017-09-03 00:47:13"
32,NA,NA,NA,38,"2017-09-03 00:47:13"
34,NA,NA,NA,35.5,"2017-09-03 00:47:13"
35,NA,NA,NA,1.5,"2017-09-03 00:47:13"
36,NA,NA,NA,36,"2017-09-03 00:47:13"
37,NA,NA,NA,13,"2017-09-03 00:47:13"
39,NA,NA,NA,5.5,"2017-09-03 00:47:13"
40,NA,NA,NA,12.5,"2017-09-03 00:47:13"
41,NA,NA,NA,10,"2017-09-03 00:47:13"
42,NA,NA,NA,28.5,"2017-09-03 00:47:13"
43,NA,NA,NA,27,"2017-09-03 00:47:13"
48,NA,NA,NA,17,"2017-09-03 00:47:13"
49,NA,NA,NA,21.5,"2017-09-03 00:47:13"
50,NA,NA,NA,36,"2017-09-03 00:47:13"
51,NA,NA,NA,14.5,"2017-09-03 00:47:13"
52,NA,NA,NA,34,"2017-09-03 00:47:13"
53,NA,NA,NA,13,"2017-09-03 00:47:13"
54,NA,NA,NA,17.5,"2017-09-03 00:47:13"
55,NA,NA,NA,24,"2017-09-03 00:47:13"
56,NA,NA,NA,42.5,"2017-09-03 00:47:13"
57,NA,NA,NA,20,"2017-09-03 00:47:13"
59,NA,NA,NA,22.5,"2017-09-03 00:47:13"
60,NA,NA,NA,39.5,"2017-09-03 00:47:13"
61,NA,NA,NA,25.5,"2017-09-03 00:47:13"
62,NA,NA,NA,30,"2017-09-03 00:47:13"
63,NA,NA,NA,13,"2017-09-03 00:47:13"
65,NA,NA,NA,30,"2017-09-03 00:47:13"
66,NA,NA,NA,59,"2017-09-03 00:47:13"
67,NA,NA,NA,19,"2017-09-03 00:47:13"
68,NA,NA,NA,16,"2017-09-03 00:47:13"
69,NA,NA,NA,11,"2017-09-03 00:47:13"
70,NA,NA,NA,28,"2017-09-03 00:47:13"
72,NA,NA,NA,45.5,"2017-09-03 00:47:13"
73,NA,NA,NA,28,"2017-09-03 00:47:13"
76,NA,NA,NA,27,"2017-09-03 00:47:13"
77,NA,NA,NA,41,"2017-09-03 00:47:13"
79,NA,NA,NA,4.5,"2017-09-03 00:47:13"
80,NA,NA,NA,7.5,"2017-09-03 00:47:13"
82,NA,NA,NA,25.5,"2017-09-03 00:47:13"
83,NA,NA,NA,14,"2017-09-03 00:47:13"
84,NA,NA,NA,35.5,"2017-09-03 00:47:13"
85,NA,NA,NA,19.5,"2017-09-03 00:47:13"
88,NA,NA,NA,2,"2017-09-03 00:47:13"
89,NA,NA,NA,35,"2017-09-03 00:47:13"
90,400933838,"UCLA",4,3.5,"2017-09-03 00:47:13"
91,400934497,"VT",4.5,5,"2017-09-03 00:47:13"
92,400933840,"TENN",3,3,"2017-09-03 00:47:13"
