"egame_id","game_id","away_team","away_score","home_team","home_score","favorite","final_spread","status","winner","is.upset","update.ts"
400933827,80,"FSU",7,"ALA",24,"ALA",7.5,"Final","ALA",0,2017-09-03 00:48:03
400933828,17,"FAMU",7,"ARK",49,"ARK",46.5,"Final","ARK",0,2017-09-03 00:48:03
400933829,29,"GASO",7,"AUB",41,"AUB",34.5,"Final","AUB",0,2017-09-03 00:48:03
400933830,79,"MICH",33,"FLA",17,"MICH",8.5,"Final","MICH",0,2017-09-03 00:48:03
400933831,37,"APP",10,"UGA",31,"UGA",12.5,"Final","UGA",0,2017-09-03 00:48:03
400933832,86,"UK",24,"USM",17,"UK",9,"Final","UK",0,2017-09-03 00:48:03
400933833,83,"BYU",0,"LSU",27,"LSU",15.5,"Final","LSU",0,2017-09-03 00:48:03
400933834,59,"USA",27,"MISS",47,"MISS",21.5,"Final","MISS",0,2017-09-03 00:48:03
400933835,49,"CHSO",0,"MSST",49,"MSST",23,"Final","MSST",0,2017-09-03 00:48:03
400933836,50,"MOST",43,"MIZ",72,"MIZ",35.5,"Final","MIZ",0,2017-09-03 00:48:03
400933837,81,"NCST",28,"SC",35,"SC",7.5,"Final","SC",0,2017-09-03 00:48:03
400933839,88,"VAN",28,"MTSU",6,"VAN",3,"Final","VAN",0,2017-09-03 00:48:03
400934488,41,"UNI",24,"ISU",42,"ISU",10,"Final","ISU",0,2017-09-03 00:48:03
400934489,30,"LIB",48,"BAY",45,"BAY",34,"Final","LIB",1,2017-09-03 00:48:03
400934490,42,"SEMO",16,"KU",38,"KU",29,"Final","KU",0,2017-09-03 00:48:03
400934491,43,"UCA",19,"KSU",55,"KSU",27,"Final","KSU",0,2017-09-03 00:48:03
400934492,56,"UTEP",7,"OKLA",56,"OKLA",43,"Final","OKLA",0,2017-09-03 00:48:03
400934493,57,"TLSA",24,"OKST",59,"OKST",19.5,"Final","OKST",0,2017-09-03 00:48:03
400934494,66,"JKST",0,"TCU",63,"TCU",60,"Final","TCU",0,2017-09-03 00:48:03
400934495,67,"MD",51,"TEX",41,"TEX",18.5,"Final","MD",1,2017-09-03 00:48:03
400934496,69,"EWU",10,"TTU",56,"TTU",13,"Final","TTU",0,2017-09-03 00:48:03
400934570,25,"FOR",6,"ARMY",64,"ARMY",18,"Final","ARMY",0,2017-09-03 00:48:03
