"game_id","oddshark_spread","update.ts"
1,36.5,2017-09-03 10:36:04
3,3.5,2017-09-03 10:36:04
5,30,2017-09-03 10:36:04
6,24.5,2017-09-03 10:36:04
7,34.5,2017-09-03 10:36:04
8,42,2017-09-03 10:36:04
10,14.5,2017-09-03 10:36:04
11,20.5,2017-09-03 10:36:04
13,22,2017-09-03 10:36:04
14,45,2017-09-03 10:36:04
15,20,2017-09-03 10:36:04
17,47,2017-09-03 10:36:04
18,21.5,2017-09-03 10:36:04
19,14,2017-09-03 10:36:04
21,28,2017-09-03 10:36:04
23,27.5,2017-09-03 10:36:04
24,3,2017-09-03 10:36:04
25,19,2017-09-03 10:36:04
26,9,2017-09-03 10:36:04
27,34.5,2017-09-03 10:36:04
28,26.5,2017-09-03 10:36:04
29,34,2017-09-03 10:36:04
30,34.5,2017-09-03 10:36:04
31,10.5,2017-09-03 10:36:04
32,38,2017-09-03 10:36:04
34,35.5,2017-09-03 10:36:04
35,1.5,2017-09-03 10:36:04
36,36,2017-09-03 10:36:04
37,13,2017-09-03 10:36:04
39,5.5,2017-09-03 10:36:04
40,12.5,2017-09-03 10:36:04
41,10,2017-09-03 10:36:04
42,28.5,2017-09-03 10:36:04
43,27,2017-09-03 10:36:04
48,17,2017-09-03 10:36:04
49,21.5,2017-09-03 10:36:04
50,36,2017-09-03 10:36:04
51,14.5,2017-09-03 10:36:04
52,34,2017-09-03 10:36:04
53,13,2017-09-03 10:36:04
54,17.5,2017-09-03 10:36:04
55,24,2017-09-03 10:36:04
56,42.5,2017-09-03 10:36:04
57,20,2017-09-03 10:36:04
59,22.5,2017-09-03 10:36:04
60,39.5,2017-09-03 10:36:04
61,25.5,2017-09-03 10:36:04
62,30,2017-09-03 10:36:04
63,13,2017-09-03 10:36:04
65,30,2017-09-03 10:36:04
66,59,2017-09-03 10:36:04
67,19,2017-09-03 10:36:04
68,16,2017-09-03 10:36:04
69,11,2017-09-03 10:36:04
70,28,2017-09-03 10:36:04
72,45.5,2017-09-03 10:36:04
73,28,2017-09-03 10:36:04
76,27,2017-09-03 10:36:04
77,41,2017-09-03 10:36:04
79,4.5,2017-09-03 10:36:04
80,7.5,2017-09-03 10:36:04
82,25.5,2017-09-03 10:36:04
83,14,2017-09-03 10:36:04
84,35.5,2017-09-03 10:36:04
85,19.5,2017-09-03 10:36:04
88,2,2017-09-03 10:36:04
89,35,2017-09-03 10:36:04
90,4.5,2017-09-03 10:36:04
91,5,2017-09-03 10:36:04
92,3,2017-09-03 10:36:04
