"matchup","game_id","oddshark_spread","update_ts"
"Portland StateBYU",1,36.5,2017-08-31 10:30:11
"Oregon StateColorado State",3,3.5,2017-08-31 10:30:11
"StanfordRice",5,30,2017-08-31 10:30:11
"New Mexico StateArizona State",6,22,2017-08-31 10:30:11
"Rhode IslandCentral Michigan",7,32.5,2017-08-31 10:30:11
"Austin PeayCincinnati",8,46.5,2017-08-31 10:30:11
"Tennessee StateGeorgia State",10,15.5,2017-08-31 10:30:11
"Ohio StateIndiana",11,21,2017-08-31 10:30:11
"BuffaloMinnesota",13,24,2017-08-31 10:30:11
"ElonToledo",14,42,2017-08-31 10:30:11
"North DakotaUtah",15,22,2017-08-31 10:30:11
"Florida A&MArkansas",17,54,2017-08-31 10:30:11
"Sacramento StateIdaho",18,25.5,2017-08-31 10:30:11
"CharlotteEastern Michigan",19,14,2017-08-31 10:30:11
"WashingtonRutgers",21,27.5,2017-08-31 10:30:11
"Utah StateWisconsin",23,27,2017-08-31 10:30:11
"Colorado StateColorado",24,3.5,2017-08-31 10:30:11
"FordhamArmy",25,NA,2017-08-31 10:30:11
"NavyFlorida Atlantic",26,9,2017-08-31 10:30:11
"VMIAir Force",27,NA,2017-08-31 10:30:11
"Northern ArizonaArizona",28,NA,2017-08-31 10:30:11
"Georgia SouthernAuburn",29,34.5,2017-08-31 10:30:11
"LibertyBaylor",30,NA,2017-08-31 10:30:11
"TroyBoise State",31,11,2017-08-31 10:30:11
"Kent StateClemson",32,39.5,2017-08-31 10:30:11
"North Carolina CentralDuke",34,NA,2017-08-31 10:30:11
"James MadisonEast Carolina",35,NA,2017-08-31 10:30:11
"Incarnate WordFresno State",36,NA,2017-08-31 10:30:11
"Appalachian StateGeorgia",37,14,2017-08-31 10:30:11
"Ball StateIllinois",39,6.5,2017-08-31 10:30:11
"WyomingIowa",40,11.5,2017-08-31 10:30:11
"Northern IowaIowa State",41,NA,2017-08-31 10:30:11
"Southeast Missouri StateKansas",42,NA,2017-08-31 10:30:11
"Central ArkansasKansas State",43,NA,2017-08-31 10:30:11
"Bowling GreenMichigan State",48,17.5,2017-08-31 10:30:11
"Charleston SouthernMississippi State",49,NA,2017-08-31 10:30:11
"Missouri StateMissouri",50,NA,2017-08-31 10:30:11
"Arkansas StateNebraska",51,14.5,2017-08-31 10:30:11
"Abilene ChristianNew Mexico",52,NA,2017-08-31 10:30:11
"CaliforniaNorth Carolina",53,12,2017-08-31 10:30:11
"LamarNorth Texas",54,NA,2017-08-31 10:30:11
"NevadaNorthwestern",55,24,2017-08-31 10:30:11
"UTEPOklahoma",56,43,2017-08-31 10:30:11
"TulsaOklahoma State",57,17.5,2017-08-31 10:30:11
"South AlabamaOle Miss",59,24,2017-08-31 10:30:11
"Southern UtahOregon",60,NA,2017-08-31 10:30:11
"Portland StateOregon State",61,NA,2017-08-31 10:30:11
"AkronPenn State",62,30.5,2017-08-31 10:30:11
"Youngstown StatePittsburgh",63,NA,2017-08-31 10:30:11
"Stephen F. AustinSMU",65,NA,2017-08-31 10:30:11
"Jackson StateTCU",66,NA,2017-08-31 10:30:11
"MarylandTexas",67,18.5,2017-08-31 10:30:11
"Houston BaptistTexas State",68,NA,2017-08-31 10:30:11
"Eastern WashingtonTexas Tech",69,NA,2017-08-31 10:30:11
"Alabama A&MUAB",70,NA,2017-08-31 10:30:11
"HowardUNLV",72,NA,2017-08-31 10:30:11
"Western MichiganUSC",73,26.5,2017-08-31 10:30:11
"William & MaryVirginia",76,NA,2017-08-31 10:30:11
"Montana StateWashington State",77,NA,2017-08-31 10:30:11
"MichiganFlorida",79,5,2017-08-31 10:30:11
"South CarolinaNC State",81,5,2017-08-31 10:30:11
"LouisvillePurdue",82,24.5,2017-08-31 10:30:11
"BYULSU",83,15.5,2017-08-31 10:30:11
"HamptonOhio",84,NA,2017-08-31 10:30:11
"TempleNotre Dame",85,18.5,2017-08-31 10:30:11
"VanderbiltMiddle Tennessee",88,3.5,2017-08-31 10:30:11
"UC DavisSan Diego State",89,NA,2017-08-31 10:30:11
"Texas A&MUCLA",90,3.5,2017-08-31 10:30:11
"West VirginiaVirginia Tech",91,4,2017-08-31 10:30:11
"TennesseeGeorgia Tech",92,3,2017-08-31 10:30:11
