"egame_id","game_id","matchup","time","favorite","espn_spread"
"400945256","170","New Mexico @ Boise State"," 20:00:00","BSU",16.5
"400941800","171","UMass @ Temple"," 19:00:00","TEM",14.5
"400941799","172","Illinois @ South Florida"," 19:00:00","USF",18
"400935269","173","Arizona @ UTEP"," 22:15:00","ARIZ",20
"400934517","174","Iowa State @ Akron"," 12:00:00","ISU",9.5
"400933854","175","Colorado State @ Alabama"," 19:00:00","ALA",28.5
"400944838","176","Arkansas-Pine Bluff @ Arkansas State"," 19:00:00","",NA
"400933855","177","Mercer @ Auburn"," 16:00:00","",NA
"400944900","178","Tennessee Tech @ Ball State"," 15:00:00","",NA
"400934574","179","Notre Dame @ Boston College"," 15:30:00","ND",13.5
"400944899","180","Colgate @ Buffalo"," 18:00:00","",NA
"400935349","181","Wisconsin @ BYU"," 15:30:00","",NA
"400933858","182","Ole Miss @ California"," 22:30:00","MISS",3.5
"400938606","183","North Carolina A&T @ Charlotte"," 18:00:00","",NA
"400935271","184","Northern Colorado @ Colorado"," 14:00:00","",NA
"400934506","185","Baylor @ Duke"," 12:30:00","DUKE",14
"400937468","186","Virginia Tech @ East Carolina"," 15:30:00","VT",21
"400938607","187","Bethune-Cookman @ Florida Atlantic"," 18:30:00","",NA
"400933856","188","Tennessee @ Florida"," 15:30:00","FLA",5.5
"400937462","189","Miami @ Florida State",NA,"",NA
"400933857","190","Samford @ Georgia"," 19:30:00","",NA
"400938610","191","Rice @ Houston"," 20:00:00","HOU",22.5
"400935350","192","Florida Intl @ Indiana",NA,"",NA
"400935351","193","North Texas @ Iowa"," 15:30:00","IOWA",21.5
"400937461","194","Clemson @ Louisville"," 20:00:00","CLEM",2.5
"400938609","195","Kent State @ Marshall"," 18:30:00","MRSH",14
"400935270","196","UCLA @ Memphis"," 12:00:00","UCLA",3
"400941801","197","Cincinnati @ Miami (OH)"," 20:00:00","M-OH",4.5
"400935352","198","Air Force @ Michigan"," 12:00:00","MICH",24.5
"400935353","199","Middle Tennessee @ Minnesota"," 15:30:00","",NA
"400933859","200","LSU @ Mississippi State"," 19:00:00","LSU",7
"400933860","201","Purdue @ Missouri"," 16:00:00","MIZ",7
"400937465","202","Furman @ NC State"," 12:20:00","",NA
"400935354","203","Northern Illinois @ Nebraska"," 12:00:00","NEB",14
"400945257","204","Idaho State @ Nevada"," 19:00:00","",NA
"400944837","205","Troy @ New Mexico State"," 20:00:00","TROY",7
"400935355","206","Bowling Green @ Northwestern"," 19:30:00","NW",22
"400934507","207","Kansas @ Ohio"," 12:00:00","OHIO",7.5
"400934563","208","Army @ Ohio State"," 16:30:00","OSU",30
"400934508","209","Tulane @ Oklahoma"," 18:00:00","OKLA",33.5
"400937464","210","North Carolina @ Old Dominion"," 15:30:00","",NA
"400935356","211","Georgia State @ Penn State"," 19:30:00","PSU",38
"400934509","212","Oklahoma State @ Pittsburgh"," 12:00:00","OKST",13.5
"400935357","213","Morgan State @ Rutgers"," 15:30:00","",NA
"400944840","214","Alabama A&M @ South Alabama"," 19:00:00","",NA
"400933861","215","Kentucky @ South Carolina"," 19:30:00","SC",6.5
"400937466","216","Central Michigan @ Syracuse"," 15:30:00","SYR",10.5
"400934510","217","SMU @ TCU"," 15:30:00","TCU",18
"400933862","218","Louisiana @ Texas A&M"," 12:00:00","TA&M",23.5
"400944836","219","Appalachian State @ Texas State"," 19:00:00","APP",23.5
"400934512","220","Arizona State @ Texas Tech"," 20:00:00","TTU",7.5
"400941802","221","Tulsa @ Toledo"," 19:00:00","TOL",9.5
"400938612","222","Coastal Carolina @ UAB"," 13:00:00","CCU",2
"400937463","223","Georgia Tech @ UCF",NA,"",NA
"400938611","224","Southern Mississippi @ Louisiana Monroe"," 19:00:00","USM",6
"400934511","225","Texas @ USC"," 20:30:00","USC",15.5
"400935272","226","San José State @ Utah"," 22:00:00","",NA
"400938613","227","Southern @ UT San Antonio"," 19:00:00","",NA
"400933863","228","Kansas State @ Vanderbilt"," 19:30:00","KSU",4
"400937467","229","Connecticut @ Virginia"," 12:00:00","UVA",10.5
"400937469","230","Utah State @ Wake Forest"," 15:00:00","WAKE",14
"400935275","231","Fresno State @ Washington"," 21:30:00","WASH",33.5
"400935274","232","Oregon State @ Washington State"," 17:30:00","WSU",21.5
"400934513","233","Delaware State @ West Virginia"," 12:00:00","",NA
"400938608","234","Louisiana Tech @ Western Kentucky"," 19:00:00","WKU",7
"400944839","235","Idaho @ Western Michigan"," 19:00:00","WMU",20
"400935273","237","Oregon @ Wyoming"," 19:00:00","ORE",13.5
"400935276","238","Stanford @ San Diego State"," 22:30:00","STAN",9.5
