"game_id","matchup","time","favorite","espn_spread","oddshark_spread","spread","update.ts"
170,"New Mexico @ Boise State"," 20:00:00","BSU",16.5,16.5,16.5,2017-09-12 00:47:46
171,"UMass @ Temple"," 19:00:00","TEM",14.5,14.5,14.5,2017-09-12 00:47:46
172,"Illinois @ South Florida"," 19:00:00","USF",18,18,18,2017-09-12 00:47:46
173,"Arizona @ UTEP"," 22:15:00","ARIZ",20,20.5,20,2017-09-12 00:47:46
174,"Iowa State @ Akron"," 12:00:00","ISU",9.5,9.5,9.5,2017-09-12 00:47:46
175,"Colorado State @ Alabama"," 19:00:00","ALA",28.5,28.5,28.5,2017-09-12 00:47:46
176,"Arkansas-Pine Bluff @ Arkansas State"," 19:00:00","",NA,NA,NA,2017-09-12 00:47:46
177,"Mercer @ Auburn"," 16:00:00","",NA,NA,NA,2017-09-12 00:47:46
178,"Tennessee Tech @ Ball State"," 15:00:00","",NA,NA,NA,2017-09-12 00:47:46
179,"Notre Dame @ Boston College"," 15:30:00","ND",13.5,13.5,13.5,2017-09-12 00:47:46
180,"Colgate @ Buffalo"," 18:00:00","",NA,NA,NA,2017-09-12 00:47:46
181,"Wisconsin @ BYU"," 15:30:00","",NA,15.5,15.5,2017-09-12 00:47:46
182,"Ole Miss @ California"," 22:30:00","MISS",3.5,3.5,3.5,2017-09-12 00:47:46
183,"North Carolina A&T @ Charlotte"," 18:00:00","",NA,NA,NA,2017-09-12 00:47:46
184,"Northern Colorado @ Colorado"," 14:00:00","",NA,NA,NA,2017-09-12 00:47:46
185,"Baylor @ Duke"," 12:30:00","DUKE",14,14.5,14,2017-09-12 00:47:46
186,"Virginia Tech @ East Carolina"," 15:30:00","VT",21,20.5,21,2017-09-12 00:47:46
187,"Bethune-Cookman @ Florida Atlantic"," 18:30:00","",NA,NA,NA,2017-09-12 00:47:46
188,"Tennessee @ Florida"," 15:30:00","FLA",5.5,5.5,5.5,2017-09-12 00:47:46
189,"Miami @ Florida State",NA,"",NA,NA,NA,2017-09-12 00:47:46
190,"Samford @ Georgia"," 19:30:00","",NA,NA,NA,2017-09-12 00:47:46
191,"Rice @ Houston"," 20:00:00","HOU",22.5,22.5,22.5,2017-09-12 00:47:46
