"game_id","matchup","time","favorite","espn_spread","oddshark_spread","spread","update.ts"
176,"Arkansas-Pine Bluff @ Arkansas State"," 19:00:00","",NA,NA,NA,2017-09-12 00:47:46
177,"Mercer @ Auburn"," 16:00:00","",NA,NA,NA,2017-09-12 00:47:46
178,"Tennessee Tech @ Ball State"," 15:00:00","",NA,NA,NA,2017-09-12 00:47:46
180,"Colgate @ Buffalo"," 18:00:00","",NA,NA,NA,2017-09-12 00:47:46
183,"North Carolina A&T @ Charlotte"," 18:00:00","",NA,NA,NA,2017-09-12 00:47:46
184,"Northern Colorado @ Colorado"," 14:00:00","",NA,NA,NA,2017-09-12 00:47:46
187,"Bethune-Cookman @ Florida Atlantic"," 18:30:00","",NA,NA,NA,2017-09-12 00:47:46
189,"Miami @ Florida State",NA,"",NA,NA,NA,2017-09-12 00:47:46
190,"Samford @ Georgia"," 19:30:00","",NA,NA,NA,2017-09-12 00:47:46
192,"Florida Intl @ Indiana",NA,"",NA,NA,NA,2017-09-12 00:47:46
202,"Furman @ NC State"," 12:20:00","",NA,NA,NA,2017-09-12 00:47:46
204,"Idaho State @ Nevada"," 19:00:00","",NA,NA,NA,2017-09-12 00:47:46
213,"Morgan State @ Rutgers"," 15:30:00","",NA,NA,NA,2017-09-12 00:47:46
214,"Alabama A&M @ South Alabama"," 19:00:00","",NA,NA,NA,2017-09-12 00:47:46
227,"Southern @ UT San Antonio"," 19:00:00","",NA,NA,NA,2017-09-12 00:47:46
233,"Delaware State @ West Virginia"," 12:00:00","",NA,NA,NA,2017-09-12 00:47:46
