"game_id","matchup","time","favorite","espn_spread","oddshark_spread","spread","update.ts"
93,"Idaho State @ Utah State",NA,"",NA,35,35,2017-09-08 10:29:52
94,"Ohio @ Purdue"," 20:00:00","PUR",3.5,3,3.5,2017-09-08 10:29:52
95,"Arkansas-Pine Bluff @ Akron"," 18:30:00","",NA,NA,NA,2017-09-08 10:29:52
96,"Fresno State @ Alabama"," 15:30:00","ALA",43.5,44,43.5,2017-09-08 10:29:52
97,"Savannah State @ Appalachian State"," 15:30:00","",NA,NA,NA,2017-09-08 10:29:52
98,"Houston @ Arizona"," 22:30:00","HOU",1,1,1,2017-09-08 10:29:52
99,"San Diego State @ Arizona State"," 23:00:00","ASU",3.5,3.5,3.5,2017-09-08 10:29:52
100,"TCU @ Arkansas"," 15:30:00","TCU",3,3,3,2017-09-08 10:29:52
101,"Miami @ Arkansas State",NA,"",NA,NA,NA,2017-09-08 10:29:52
102,"UAB @ Ball State"," 15:00:00","BALL",14.5,14,14.5,2017-09-08 10:29:52
103,"UT San Antonio @ Baylor"," 20:00:00","BAY",17,17,17,2017-09-08 10:29:52
104,"Wake Forest @ Boston College"," 13:00:00","BC",1.5,NA,1.5,2017-09-08 10:29:52
105,"South Dakota @ Bowling Green"," 18:00:00","",NA,NA,NA,2017-09-08 10:29:52
106,"Utah @ BYU"," 22:15:00","UTAH",2.5,2.5,2.5,2017-09-08 10:29:52
107,"Weber State @ California"," 17:00:00","",NA,NA,NA,2017-09-08 10:29:52
108,"Auburn @ Clemson"," 19:00:00","CLEM",5,5.5,5,2017-09-08 10:29:52
109,"Texas State @ Colorado"," 14:00:00","COLO",35.5,35,35.5,2017-09-08 10:29:52
110,"Abilene Christian @ Colorado State"," 15:30:00","",NA,NA,NA,2017-09-08 10:29:52
111,"South Florida @ Connecticut",NA,"",NA,17,17,2017-09-08 10:29:52
112,"Northwestern @ Duke"," 12:00:00","NW",3,3,3,2017-09-08 10:29:52
113,"Alcorn State @ Florida Intl"," 19:00:00","FIU",20,NA,20,2017-09-08 10:29:52
114,"Northern Colorado @ Florida",NA,"",NA,NA,NA,2017-09-08 10:29:52
115,"Louisiana Monroe @ Florida State",NA,"",NA,35,35,2017-09-08 10:29:52
116,"Jacksonville State @ Georgia Tech"," 12:30:00","",NA,NA,NA,2017-09-08 10:29:52
117,"UNLV @ Idaho"," 19:00:00","IDHO",6.5,6.5,6.5,2017-09-08 10:29:52
118,"Western Kentucky @ Illinois"," 20:00:00","WKU",7,7.5,7,2017-09-08 10:29:52
119,"Iowa @ Iowa State"," 12:00:00","IOWA",3,2.5,3,2017-09-08 10:29:52
120,"Central Michigan @ Kansas"," 16:00:00","KU",5,5,5,2017-09-08 10:29:52
121,"Charlotte @ Kansas State"," 12:00:00","KSU",35,34.5,35,2017-09-08 10:29:52
122,"Howard @ Kent State"," 15:30:00","",NA,NA,NA,2017-09-08 10:29:52
123,"Eastern Kentucky @ Kentucky"," 12:00:00","",NA,NA,NA,2017-09-08 10:29:52
124,"Chattanooga @ LSU"," 19:30:00","",NA,NA,NA,2017-09-08 10:29:52
125,"Towson @ Maryland"," 12:00:00","",NA,NA,NA,2017-09-08 10:29:52
126,"Austin Peay @ Miami (OH)"," 15:30:00","",NA,NA,NA,2017-09-08 10:29:52
127,"Cincinnati @ Michigan"," 12:00:00","MICH",34.5,34.5,34.5,2017-09-08 10:29:52
128,"Western Michigan @ Michigan State"," 15:30:00","MSU",7.5,7.5,7.5,2017-09-08 10:29:52
129,"South Carolina @ Missouri"," 19:00:00","MIZ",2.5,2.5,2.5,2017-09-08 10:29:52
130,"Marshall @ NC State"," 18:00:00","NCST",24,24,24,2017-09-08 10:29:52
131,"Toledo @ Nevada"," 19:00:00","TOL",10,9.5,10,2017-09-08 10:29:52
132,"New Mexico State @ New Mexico"," 20:00:00","UNM",7,7,7,2017-09-08 10:29:52
133,"Louisville @ North Carolina"," 12:00:00","LOU",10,10,10,2017-09-08 10:29:52
134,"Eastern Illinois @ Northern Illinois"," 15:30:00","",NA,NA,NA,2017-09-08 10:29:52
135,"Oklahoma @ Ohio State"," 19:30:00","OSU",7.5,7.5,7.5,2017-09-08 10:29:52
136,"UT Martin @ Ole Miss"," 12:00:00","",NA,NA,NA,2017-09-08 10:29:52
137,"Nebraska @ Oregon"," 16:30:00","ORE",13,14,13,2017-09-08 10:29:52
138,"Minnesota @ Oregon State"," 22:00:00","ORST",2.5,2,2.5,2017-09-08 10:29:52
139,"Pittsburgh @ Penn State"," 15:30:00","PSU",22,21,22,2017-09-08 10:29:52
140,"Eastern Michigan @ Rutgers"," 15:30:00","RUTG",5,5.5,5,2017-09-08 10:29:52
141,"North Texas @ SMU"," 19:00:00","SMU",13.5,13.5,13.5,2017-09-08 10:29:52
142,"Oklahoma State @ South Alabama"," 20:00:00","OKST",28.5,28.5,28.5,2017-09-08 10:29:52
143,"Southern @ Southern Mississippi"," 19:00:00","",NA,NA,NA,2017-09-08 10:29:52
144,"Middle Tennessee @ Syracuse"," 15:30:00","SYR",10,10,10,2017-09-08 10:29:52
145,"Villanova @ Temple"," 15:30:00","",NA,NA,NA,2017-09-08 10:29:52
146,"Indiana State @ Tennessee"," 16:00:00","",NA,NA,NA,2017-09-08 10:29:52
147,"San José State @ Texas"," 15:30:00","TEX",25,24.5,25,2017-09-08 10:29:52
148,"Nicholls @ Texas A&M"," 19:00:00","",NA,NA,NA,2017-09-08 10:29:52
149,"Alabama State @ Troy"," 18:00:00","",NA,NA,NA,2017-09-08 10:29:52
150,"Louisiana @ Tulsa"," 16:00:00","TLSA",14.5,13.5,14.5,2017-09-08 10:29:52
151,"Memphis @ UCF",NA,"",NA,3,3,2017-09-08 10:29:52
152,"Hawai'i @ UCLA"," 17:00:00","UCLA",23.5,23.5,23.5,2017-09-08 10:29:52
153,"Old Dominion @ UMass"," 15:30:00","ODU",3.5,3.5,3.5,2017-09-08 10:29:52
