"matchup","game_id","oddshark_spread","update_ts"
"Portland StateBYU",1,36.5,2017-08-29 01:45:29
"Oregon StateColorado State",3,3.5,2017-08-29 01:45:29
"StanfordRice",5,30,2017-08-29 01:45:29
"New Mexico StateArizona State",6,22,2017-08-29 01:45:29
"Rhode IslandCentral Michigan",7,NA,2017-08-29 01:45:29
"Austin PeayCincinnati",8,NA,2017-08-29 01:45:29
"Tennessee StateGeorgia State",10,NA,2017-08-29 01:45:29
"Ohio StateIndiana",11,21,2017-08-29 01:45:29
"BuffaloMinnesota",13,24.5,2017-08-29 01:45:29
"ElonToledo",14,NA,2017-08-29 01:45:29
"North DakotaUtah",15,NA,2017-08-29 01:45:29
"Florida A&MArkansas",17,NA,2017-08-29 01:45:29
"Sacramento StateIdaho",18,NA,2017-08-29 01:45:29
"CharlotteEastern Michigan",19,13.5,2017-08-29 01:45:29
"WashingtonRutgers",21,27.5,2017-08-29 01:45:29
"Utah StateWisconsin",23,27.5,2017-08-29 01:45:29
"Colorado StateColorado",24,5,2017-08-29 01:45:29
"FordhamArmy",25,NA,2017-08-29 01:45:29
"NavyFlorida Atlantic",26,10,2017-08-29 01:45:29
"VMIAir Force",27,NA,2017-08-29 01:45:29
"Northern ArizonaArizona",28,NA,2017-08-29 01:45:29
"Georgia SouthernAuburn",29,34,2017-08-29 01:45:29
"LibertyBaylor",30,NA,2017-08-29 01:45:29
"TroyBoise State",31,11,2017-08-29 01:45:29
"Kent StateClemson",32,40,2017-08-29 01:45:29
"North Carolina CentralDuke",34,NA,2017-08-29 01:45:29
"James MadisonEast Carolina",35,NA,2017-08-29 01:45:29
"Incarnate WordFresno State",36,NA,2017-08-29 01:45:29
"Appalachian StateGeorgia",37,14,2017-08-29 01:45:29
"Ball StateIllinois",39,7,2017-08-29 01:45:29
"WyomingIowa",40,11.5,2017-08-29 01:45:29
"Northern IowaIowa State",41,NA,2017-08-29 01:45:29
"Southeast Missouri StateKansas",42,NA,2017-08-29 01:45:29
"Central ArkansasKansas State",43,NA,2017-08-29 01:45:29
"Bowling GreenMichigan State",48,16.5,2017-08-29 01:45:29
"Charleston SouthernMississippi State",49,NA,2017-08-29 01:45:29
"Missouri StateMissouri",50,NA,2017-08-29 01:45:29
"Arkansas StateNebraska",51,17,2017-08-29 01:45:29
"Abilene ChristianNew Mexico",52,NA,2017-08-29 01:45:29
"CaliforniaNorth Carolina",53,11,2017-08-29 01:45:29
"LamarNorth Texas",54,NA,2017-08-29 01:45:29
"NevadaNorthwestern",55,24,2017-08-29 01:45:29
"UTEPOklahoma",56,43,2017-08-29 01:45:29
"TulsaOklahoma State",57,17.5,2017-08-29 01:45:29
"South AlabamaOle Miss",59,24,2017-08-29 01:45:29
"Southern UtahOregon",60,NA,2017-08-29 01:45:29
"Portland StateOregon State",61,NA,2017-08-29 01:45:29
"AkronPenn State",62,30,2017-08-29 01:45:29
"Youngstown StatePittsburgh",63,NA,2017-08-29 01:45:29
"Stephen F. AustinSMU",65,NA,2017-08-29 01:45:29
"Jackson StateTCU",66,NA,2017-08-29 01:45:29
"MarylandTexas",67,18,2017-08-29 01:45:29
"Houston BaptistTexas State",68,NA,2017-08-29 01:45:29
"Eastern WashingtonTexas Tech",69,NA,2017-08-29 01:45:29
"Alabama A&MUAB",70,NA,2017-08-29 01:45:29
"HowardUNLV",72,NA,2017-08-29 01:45:29
"Western MichiganUSC",73,27.5,2017-08-29 01:45:29
"William & MaryVirginia",76,NA,2017-08-29 01:45:29
"Montana StateWashington State",77,NA,2017-08-29 01:45:29
"MichiganFlorida",79,3.5,2017-08-29 01:45:29
"LouisvillePurdue",82,24.5,2017-08-29 01:45:29
"HamptonOhio",84,NA,2017-08-29 01:45:29
"TempleNotre Dame",85,17.5,2017-08-29 01:45:29
"VanderbiltMiddle Tennessee",88,3.5,2017-08-29 01:45:29
"UC DavisSan Diego State",89,NA,2017-08-29 01:45:29
"Texas A&MUCLA",90,3.5,2017-08-29 01:45:29
"West VirginiaVirginia Tech",91,4,2017-08-29 01:45:29
"TennesseeGeorgia Tech",92,3,2017-08-29 01:45:29
