"game_id","date","time","favorite","espn_spread","oddshark_spread","update_ts"
80,"2017-09-03","5:00 PM PT","ALA",7,NA,2017-08-29 01:49:25
87,"2017-09-03","5:00 PM PT","",NA,NA,2017-08-29 01:49:25
88,"2017-09-03","5:00 PM PT","VAN",3,3.5,2017-08-29 01:49:25
60,"2017-09-03","5:15 PM PT","",NA,NA,2017-08-29 01:49:25
89,"2017-09-03","5:30 PM PT","",NA,NA,2017-08-29 01:49:25
72,"2017-09-03","6:00 PM PT","",NA,NA,2017-08-29 01:49:25
83,"2017-09-03","6:30 PM PT","LSU",14,NA,2017-08-29 01:49:25
36,"2017-09-03","7:00 PM PT","",NA,NA,2017-08-29 01:49:25
77,"2017-09-03","7:30 PM PT","",NA,NA,2017-08-29 01:49:25
28,"2017-09-03","8:00 PM PT","",NA,NA,2017-08-29 01:49:25
38,"2017-09-03","8:59 PM PT","",NA,NA,2017-08-29 01:49:25
92,"2017-09-05","5:00 PM PT","TENN",3,3,2017-08-29 01:49:25
