"egame_id","game_id","away","home","away_short","home_short","away_score","home_score","time","favorite","espn_spread","update_ts"
400938594,46,"Miami (OH)","Marshall","M-OH","MRSH",NA,NA,"6:30 PM ","",NA,2017-08-26 17:58:13
400937449,47,"Bethune-Cookman","Miami","BCU","MIAMI",NA,NA,"12:30 PM ","",NA,2017-08-26 17:58:13
400935234,48,"Bowling Green","Michigan State","BGSU","MSU",NA,NA,"12:00 PM ","MSU",18,2017-08-26 17:58:13
400933835,49,"Charleston Southern","Mississippi State","CHSO","MSST",NA,NA,"4:00 PM ","",NA,2017-08-26 17:58:13
400933836,50,"Missouri State","Missouri","MOST","MIZ",NA,NA,"12:00 PM ","",NA,2017-08-26 17:58:13
400935235,51,"Arkansas State","Nebraska","ARST","NEB",NA,NA,"8:00 PM ","NEB",16.5,2017-08-26 17:58:13
400945247,52,"Abilene Christian","New Mexico","ACU","UNM",NA,NA,"8:00 PM ","",NA,2017-08-26 17:58:13
400935256,53,"California","North Carolina","CAL","UNC",NA,NA,"12:20 PM ","UNC",11.5,2017-08-26 17:58:13
400938595,54,"Lamar","North Texas","LAM","UNT",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400935236,55,"Nevada","Northwestern","NEV","NW",NA,NA,"3:30 PM ","NW",24.5,2017-08-26 17:58:13
400934492,56,"UTEP","Oklahoma","UTEP","OKLA",NA,NA,"3:30 PM ","OKLA",44.5,2017-08-26 17:58:13
400934493,57,"Tulsa","Oklahoma State","TLSA","OKST",NA,NA,"7:30 PM ","OKST",18,2017-08-26 17:58:13
400938596,58,"Albany","Old Dominion","ALBY","ODU",NA,NA,"6:00 PM ","",NA,2017-08-26 17:58:13
400933834,59,"South Alabama","Ole Miss","USA","MISS",NA,NA,"7:30 PM ","MISS",24,2017-08-26 17:58:13
400935253,60,"Southern Utah","Oregon","SUU","ORE",NA,NA,"8:15 PM ","",NA,2017-08-26 17:58:13
400935254,61,"Portland State","Oregon State","PRST","ORST",NA,NA,"2:00 PM ","",NA,2017-08-26 17:58:13
400935237,62,"Akron","Penn State","AKR","PSU",NA,NA,"12:00 PM ","PSU",32,2017-08-26 17:58:13
400937450,63,"Youngstown State","Pittsburgh","YSU","PITT",NA,NA,"1:00 PM ","",NA,2017-08-26 17:58:13
400945251,64,"Cal Poly","San José State","CP","SJSU",NA,NA,"7:30 PM ","",NA,2017-08-26 17:58:13
400941792,65,"Stephen F. Austin","SMU","SFA","SMU",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400934494,66,"Jackson State","TCU","JKST","TCU",NA,NA,"8:00 PM ","",NA,2017-08-26 17:58:13
400934495,67,"Maryland","Texas","MD","TEX",NA,NA,"12:00 PM ","TEX",17.5,2017-08-26 17:58:13
400944829,68,"Houston Baptist","Texas State","HBU","TXST",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400934496,69,"Eastern Washington","Texas Tech","EWU","TTU",NA,NA,"4:00 PM ","",NA,2017-08-26 17:58:13
400938597,70,"Alabama A&M","UAB","AAMU","UAB",NA,NA,"3:30 PM ","",NA,2017-08-26 17:58:13
400938591,71,"Florida Intl","UCF","FIU","UCF",NA,NA,"6:00 PM ","UCF",17.5,2017-08-26 17:58:13
400945252,72,"Howard","UNLV","HOW","UNLV",NA,NA,"9:00 PM ","",NA,2017-08-26 17:58:13
400935252,73,"Western Michigan","USC","WMU","USC",NA,NA,"5:15 PM ","USC",28,2017-08-26 17:58:13
400941791,74,"Stony Brook","South Florida","STON","USF",NA,NA,"4:00 PM ","",NA,2017-08-26 17:58:13
400938598,75,"Houston","UT San Antonio","HOU","UTSA",NA,NA,"7:00 PM ","HOU",11,2017-08-26 17:58:13
400937452,76,"William & Mary","Virginia","W&M","UVA",NA,NA,"3:30 PM ","",NA,2017-08-26 17:58:13
400935255,77,"Montana State","Washington State","MTST","WSU",NA,NA,"10:30 PM ","",NA,2017-08-26 17:58:13
400938599,78,"Eastern Kentucky","Western Kentucky","EKY","WKU",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400933830,79,"Michigan","Florida","MICH","FLA",NA,NA,"3:30 PM ","MICH",4,2017-08-26 17:58:13
400933827,80,"Florida State","Alabama","FSU","ALA",NA,NA,"8:00 PM ","ALA",7,2017-08-26 17:58:13
400933837,81,"NC State","South Carolina","NCST","SC",NA,NA,"3:00 PM ","",NA,2017-08-26 17:58:13
400935238,82,"Louisville","Purdue","LOU","PUR",NA,NA,"7:30 PM ","LOU",25,2017-08-26 17:58:13
400933833,83,"BYU","LSU","BYU","LSU",NA,NA,"9:30 PM ","LSU",12.5,2017-08-26 17:58:13
400944892,84,"Hampton","Ohio","HAMP","OHIO",NA,NA,"7:00 PM ","",NA,2017-08-26 17:58:13
400934573,85,"Temple","Notre Dame","TEM","ND",NA,NA,"3:30 PM ","ND",17,2017-08-26 17:58:13
400933832,86,"Kentucky","Southern Mississippi","UK","USM",NA,NA,"4:00 PM ","UK",10,2017-08-26 17:58:13
400941793,87,"Grambling","Tulane","GRAM","TULN",NA,NA,"8:00 PM ","",NA,2017-08-26 17:58:13
400933839,88,"Vanderbilt","Middle Tennessee","VAN","MTSU",NA,NA,"8:00 PM ","VAN",4,2017-08-26 17:58:13
400945250,89,"UC Davis","San Diego State","UCD","SDSU",NA,NA,"8:30 PM ","",NA,2017-08-26 17:58:13
400933838,90,"Texas A&M","UCLA","TA&M","UCLA",NA,NA,"7:30 PM ","UCLA",3.5,2017-08-26 17:58:13
400934497,91,"West Virginia","Virginia Tech","WVU","VT",NA,NA,"7:30 PM ","VT",4.5,2017-08-26 17:58:13
400933840,92,"Tennessee","Georgia Tech","TENN","GT",NA,NA,"8:00 PM ","TENN",3.5,2017-08-26 17:58:13
