"matchup","game_id","oddshark_spread","update_ts"
"Portland StateBYU",1,36.5,2017-08-26 17:58:20
"Oregon StateColorado State",3,3.5,2017-08-26 17:58:20
"StanfordRice",5,30.5,2017-08-26 17:58:20
"New Mexico StateArizona State",6,23.5,2017-08-26 17:58:20
"Rhode IslandCentral Michigan",7,NA,2017-08-26 17:58:20
"Austin PeayCincinnati",8,NA,2017-08-26 17:58:20
"Tennessee StateGeorgia State",10,NA,2017-08-26 17:58:20
"Ohio StateIndiana",11,21.5,2017-08-26 17:58:20
"BuffaloMinnesota",13,25.5,2017-08-26 17:58:20
"ElonToledo",14,NA,2017-08-26 17:58:20
"North DakotaUtah",15,NA,2017-08-26 17:58:20
"Florida A&MArkansas",17,NA,2017-08-26 17:58:20
"Sacramento StateIdaho",18,NA,2017-08-26 17:58:20
"CharlotteEastern Michigan",19,14,2017-08-26 17:58:20
"WashingtonRutgers",21,30.5,2017-08-26 17:58:20
"Utah StateWisconsin",23,28,2017-08-26 17:58:20
"Colorado StateColorado",24,6.5,2017-08-26 17:58:20
"FordhamArmy",25,NA,2017-08-26 17:58:20
"NavyFlorida Atlantic",26,10.5,2017-08-26 17:58:20
"VMIAir Force",27,NA,2017-08-26 17:58:20
"Northern ArizonaArizona",28,NA,2017-08-26 17:58:20
"Georgia SouthernAuburn",29,34.5,2017-08-26 17:58:20
"LibertyBaylor",30,NA,2017-08-26 17:58:20
"TroyBoise State",31,11,2017-08-26 17:58:20
"Kent StateClemson",32,38.5,2017-08-26 17:58:20
"North Carolina CentralDuke",34,NA,2017-08-26 17:58:20
"James MadisonEast Carolina",35,NA,2017-08-26 17:58:20
"Incarnate WordFresno State",36,NA,2017-08-26 17:58:20
"Appalachian StateGeorgia",37,13.5,2017-08-26 17:58:20
"Ball StateIllinois",39,7.5,2017-08-26 17:58:20
"WyomingIowa",40,12.5,2017-08-26 17:58:20
"Northern IowaIowa State",41,NA,2017-08-26 17:58:20
"Southeast Missouri StateKansas",42,NA,2017-08-26 17:58:20
"Central ArkansasKansas State",43,NA,2017-08-26 17:58:20
"Bowling GreenMichigan State",48,18,2017-08-26 17:58:20
"Charleston SouthernMississippi State",49,NA,2017-08-26 17:58:20
"Missouri StateMissouri",50,NA,2017-08-26 17:58:20
"Arkansas StateNebraska",51,16.5,2017-08-26 17:58:20
"Abilene ChristianNew Mexico",52,NA,2017-08-26 17:58:20
"CaliforniaNorth Carolina",53,11,2017-08-26 17:58:20
"LamarNorth Texas",54,NA,2017-08-26 17:58:20
"NevadaNorthwestern",55,24,2017-08-26 17:58:20
"UTEPOklahoma",56,44.5,2017-08-26 17:58:20
"TulsaOklahoma State",57,18,2017-08-26 17:58:20
"South AlabamaOle Miss",59,24,2017-08-26 17:58:20
"Southern UtahOregon",60,NA,2017-08-26 17:58:20
"Portland StateOregon State",61,NA,2017-08-26 17:58:20
"AkronPenn State",62,33,2017-08-26 17:58:20
"Youngstown StatePittsburgh",63,NA,2017-08-26 17:58:20
"Stephen F. AustinSMU",65,NA,2017-08-26 17:58:20
"Jackson StateTCU",66,NA,2017-08-26 17:58:20
"MarylandTexas",67,17,2017-08-26 17:58:20
"Houston BaptistTexas State",68,NA,2017-08-26 17:58:20
"Eastern WashingtonTexas Tech",69,NA,2017-08-26 17:58:20
"Alabama A&MUAB",70,NA,2017-08-26 17:58:20
"HowardUNLV",72,NA,2017-08-26 17:58:20
"Western MichiganUSC",73,27,2017-08-26 17:58:20
"William & MaryVirginia",76,NA,2017-08-26 17:58:20
"Montana StateWashington State",77,NA,2017-08-26 17:58:20
"MichiganFlorida",79,4,2017-08-26 17:58:20
"LouisvillePurdue",82,26.5,2017-08-26 17:58:20
"HamptonOhio",84,NA,2017-08-26 17:58:20
"TempleNotre Dame",85,17,2017-08-26 17:58:20
"VanderbiltMiddle Tennessee",88,5,2017-08-26 17:58:20
"UC DavisSan Diego State",89,NA,2017-08-26 17:58:20
"Texas A&MUCLA",90,3,2017-08-26 17:58:20
"West VirginiaVirginia Tech",91,4.5,2017-08-26 17:58:20
"TennesseeGeorgia Tech",92,4,2017-08-26 17:58:20
