game_id,egame_id,matchup,week
381,400935374,Penn StateNorthwestern,6
372,400935371,IllinoisIowa,6
377,400938628,Florida International (FIU)Middle Tennessee,6
395,400944849,Louisiana-MonroeTexas State,6
358,400944988,Ball StateAkron,6
380,400944992,Kent StateNIU,6
362,400944993,Western MichiganBuffalo,6
408,400941815,Air ForceNavy,6
402,400945268,Colorado StateUtah State,6
371,400944848,Louisiana-LafayetteIdaho,6
385,400938629,Florida AtlanticOld Dominion,6
363,400938627,MarshallCharlotte,6
388,400934564,ArmyRice,6
404,400938676,Southern MissUTSA,6
389,400945269,Fresno StateSan Jose State,6
403,400938631,WKUUTEP,6
409,400945270,HawaiiNevada,6
410,400944851,South AlabamaTroy,7
412,400937492,Georgia TechMiami-FL,7
411,400944852,Texas StateLouisiana-Lafayette,7
414,400937493,ClemsonSyracuse,7
413,400935294,Washington StateCalifornia,7
416,400933886,ArkansasAlabama,7
465,400934528,OklahomaTexas,7
458,400935297,UtahUSC,7
418,400935296,WashingtonArizona State,7
443,400935381,Ohio StateNebraska,7
446,400934526,BaylorOklahoma State,7
464,400935382,PurdueWisconsin,7
424,400937495,Florida StateDuke,7
437,400933889,AuburnLSU,7
428,400933888,MissouriGeorgia,7
436,400937494,Boston CollegeLouisville,7
412,400981508,Georgia TechMiami-FL,7
434,400934530,TCUKansas State,7
451,400935299,OregonStanford,7
459,400938891,MassachusettsUSF,7
453,400933892,South CarolinaTennessee,7
426,400933887,Texas A&MFlorida,7
417,400935295,UCLAArizona,7
448,400935298,ColoradoOregon State,7
439,400935377,NorthwesternMaryland,7
431,400935378,RutgersIllinois,7
447,400933890,VanderbiltOle Miss,7
442,400933891,BYUMississippi State,7
433,400934527,KansasIowa State,7
461,400934529,Texas TechWest Virginia,7
444,400937496,VirginiaNorth Carolina,7
449,400937497,NC StatePittsburgh,7
456,400941820,East CarolinaUCF,7
452,400941821,UCONNTemple,7
454,400941822,HoustonTulsa,7
440,400941823,NavyMemphis,7
441,400935380,Michigan StateMinnesota,7
419,400944854,Coastal CarolinaArkansas State,7
421,400944996,NIUBuffalo,7
423,400945274,NevadaColorado State,7
432,400935379,MichiganIndiana,7
466,400934567,Eastern MichiganArmy,7
415,400945272,UNLVAir Force,7
438,400938634,Old DominionMarshall,7
420,400944997,OhioBowling Green,7
422,400944998,ToledoCentral Michigan,7
463,400944994,AkronWestern Michigan,7
435,400944995,Miami-OHKent State,7
460,400945276,WyomingUtah State,7
462,400938632,CharlotteWKU,7
430,400944853,Appalachian StateIdaho,7
457,400944856,Georgia StateLouisiana-Monroe,7
467,400944855,New Mexico StateGeorgia Southern,7
455,400938635,Middle TennesseeUAB,7
445,400938636,UTSANorth Texas,7
450,400938637,UTEPSouthern Miss,7
425,400938633,TulaneFlorida International (FIU),7
427,400945275,New MexicoFresno State,7
469,400945273,Boise StateSan Diego State,7
429,400945277,San Jose StateHawaii,7
470,400944857,Louisiana-LafayetteArkansas State,8
471,400941824,MemphisHouston,8
503,400938641,WKUOld Dominion,8
472,400938674,MarshallMiddle Tennessee,8
473,400945278,Air ForceNevada,8
474,400945280,Colorado StateNew Mexico,8
475,400933893,TennesseeAlabama,8
493,400934534,OklahomaKansas State,8
505,400935386,MichiganPenn State,8
509,400934535,Oklahoma StateTexas,8
490,400937500,LouisvilleFlorida State,8
504,400933895,LSUOle Miss,8
477,400933894,AuburnArkansas,8
519,400937503,North CarolinaVirginia Tech,8
495,400937502,SyracuseMiami-FL,8
508,400934532,KansasTCU,8
520,400935303,ColoradoWashington State,8
512,400941829,USFTulane,8
513,400935302,OregonUCLA,8
480,400945279,WyomingBoise State,8
502,400945002,Kent StateOhio,8
481,400945003,NIUBowling Green,8
476,400944858,Coastal CarolinaAppalachian State,8
507,400944859,Louisiana-MonroeSouth Alabama,8
491,400944860,TroyGeorgia State,8
511,400944999,AkronToledo,8
496,400945000,BuffaloMiami-OH,8
484,400941826,SMUCincinnati,8
485,400941827,TulsaUCONN,8
487,400941828,BYUEast Carolina,8
489,400938639,North TexasFlorida Atlantic,8
518,400937498,Boston CollegeVirginia,8
486,400937499,PittsburghDuke,8
492,400937501,Wake ForestGeorgia Tech,8
499,400933896,KentuckyMississippi State,8
500,400933897,IdahoMissouri,8
510,400934531,Iowa StateTexas Tech,8
479,400934533,West VirginiaBaylor,8
482,400935300,ArizonaCalifornia,8
516,400935301,Arizona StateUtah,8
497,400935383,IndianaMichigan State,8
498,400935384,IllinoisMinnesota,8
501,400935385,IowaNorthwestern,8
521,400935388,MarylandWisconsin,8
506,400935387,PurdueRutgers,8
522,400934568,TempleArmy,8
488,400945004,Western MichiganEastern Michigan,8
478,400945001,Central MichiganBall State,8
514,400938892,Georgia SouthernMassachusetts,8
524,400941825,UCFNavy,8
515,400945281,Utah StateUNLV,8
483,400938638,UABCharlotte,8
494,400938640,Southern MissLA Tech,8
517,400938642,RiceUTSA,8
525,400934578,USCNotre Dame,8
526,400945282,Fresno StateSan Diego State,8
529,400945005,Eastern MichiganNIU,9
527,400945006,ToledoBall State,9
528,400944861,South AlabamaGeorgia State,9
530,400935304,StanfordOregon State,9
531,400937504,Florida StateBoston College,9
532,400941830,TulaneMemphis,9
533,400941831,TulsaSMU,9
561,400934539,Texas TechOklahoma,9
539,400937505,Georgia TechClemson,9
536,400935306,USCArizona State,9
576,400935307,UCLAWashington,9
577,400934537,Oklahoma StateWest Virginia,9
575,400937507,LouisvilleWake Forest,9
574,400937506,DukeVirginia Tech,9
557,400937508,Miami-FLNorth Carolina,9
551,400934536,Kansas StateKansas,9
550,400934540,TCUIowa State,9
535,400935305,Washington StateArizona,9
572,400941832,CincinnatiUSF,9
552,400933899,TennesseeKentucky,9
546,400941833,East CarolinaHouston,9
565,400935395,NebraskaPurdue,9
540,400944863,Texas StateCoastal Carolina,9
570,400944864,Georgia SouthernTroy,9
579,400945285,New MexicoWyoming,9
545,400945287,San Diego StateHawaii,9
538,400945288,San Jose StateBYU,9
564,400937509,VirginiaPittsburgh,9
549,400935391,MinnesotaIowa,9
554,400935392,IndianaMaryland,9
541,400935308,CaliforniaColorado,9
563,400935309,UtahOregon,9
559,400935389,Michigan StateNorthwestern,9
562,400933900,ArkansasOle Miss,9
543,400933901,MissouriUCONN,9
567,400933902,VanderbiltSouth Carolina,9
569,400933903,Mississippi StateTexas A&M,9
