"matchup","game_id","oddshark_spread","update_ts"
"Portland StateBYU",1,36.5,2017-09-02 08:00:54
"Oregon StateColorado State",3,3.5,2017-09-02 08:00:54
"StanfordRice",5,30,2017-09-02 08:00:54
"New Mexico StateArizona State",6,24.5,2017-09-02 08:00:54
"Rhode IslandCentral Michigan",7,34.5,2017-09-02 08:00:54
"Austin PeayCincinnati",8,42,2017-09-02 08:00:54
"Tennessee StateGeorgia State",10,14.5,2017-09-02 08:00:54
"Ohio StateIndiana",11,20.5,2017-09-02 08:00:54
"BuffaloMinnesota",13,22,2017-09-02 08:00:54
"ElonToledo",14,45,2017-09-02 08:00:54
"North DakotaUtah",15,20,2017-09-02 08:00:54
"Florida A&MArkansas",17,47,2017-09-02 08:00:54
"Sacramento StateIdaho",18,21.5,2017-09-02 08:00:54
"CharlotteEastern Michigan",19,14,2017-09-02 08:00:54
"WashingtonRutgers",21,28,2017-09-02 08:00:54
"Utah StateWisconsin",23,27.5,2017-09-02 08:00:54
"Colorado StateColorado",24,3,2017-09-02 08:00:54
"FordhamArmy",25,19,2017-09-02 08:00:54
"NavyFlorida Atlantic",26,9,2017-09-02 08:00:54
"VMIAir Force",27,28.5,2017-09-02 08:00:54
"Northern ArizonaArizona",28,24.5,2017-09-02 08:00:54
"Georgia SouthernAuburn",29,34,2017-09-02 08:00:54
"LibertyBaylor",30,30.5,2017-09-02 08:00:54
"TroyBoise State",31,9.5,2017-09-02 08:00:54
"Kent StateClemson",32,40,2017-09-02 08:00:54
"North Carolina CentralDuke",34,27.5,2017-09-02 08:00:54
"James MadisonEast Carolina",35,7,2017-09-02 08:00:54
"Incarnate WordFresno State",36,32.5,2017-09-02 08:00:54
"Appalachian StateGeorgia",37,13,2017-09-02 08:00:54
"Ball StateIllinois",39,5.5,2017-09-02 08:00:54
"WyomingIowa",40,12,2017-09-02 08:00:54
"Northern IowaIowa State",41,8.5,2017-09-02 08:00:54
"Southeast Missouri StateKansas",42,20,2017-09-02 08:00:54
"Central ArkansasKansas State",43,24.5,2017-09-02 08:00:54
"Bowling GreenMichigan State",48,17,2017-09-02 08:00:54
"Charleston SouthernMississippi State",49,20.5,2017-09-02 08:00:54
"Missouri StateMissouri",50,35.5,2017-09-02 08:00:54
"Arkansas StateNebraska",51,14,2017-09-02 08:00:54
"Abilene ChristianNew Mexico",52,33,2017-09-02 08:00:54
"CaliforniaNorth Carolina",53,12.5,2017-09-02 08:00:54
"LamarNorth Texas",54,20,2017-09-02 08:00:54
"NevadaNorthwestern",55,24,2017-09-02 08:00:54
"UTEPOklahoma",56,43,2017-09-02 08:00:54
"TulsaOklahoma State",57,20,2017-09-02 08:00:54
"South AlabamaOle Miss",59,23,2017-09-02 08:00:54
"Southern UtahOregon",60,31,2017-09-02 08:00:54
"Portland StateOregon State",61,25,2017-09-02 08:00:54
"AkronPenn State",62,30.5,2017-09-02 08:00:54
"Youngstown StatePittsburgh",63,14,2017-09-02 08:00:54
"Stephen F. AustinSMU",65,29,2017-09-02 08:00:54
"Jackson StateTCU",66,63,2017-09-02 08:00:54
"MarylandTexas",67,18,2017-09-02 08:00:54
"Houston BaptistTexas State",68,24.5,2017-09-02 08:00:54
"Eastern WashingtonTexas Tech",69,7.5,2017-09-02 08:00:54
"Alabama A&MUAB",70,28,2017-09-02 08:00:54
"HowardUNLV",72,44,2017-09-02 08:00:54
"Western MichiganUSC",73,28,2017-09-02 08:00:54
"William & MaryVirginia",76,20.5,2017-09-02 08:00:54
"Montana StateWashington State",77,38,2017-09-02 08:00:54
"MichiganFlorida",79,5,2017-09-02 08:00:54
"Florida StateAlabama",80,7,2017-09-02 08:00:54
"South CarolinaNC State",81,6.5,2017-09-02 08:00:54
"LouisvillePurdue",82,25,2017-09-02 08:00:54
"BYULSU",83,14.5,2017-09-02 08:00:54
"HamptonOhio",84,36,2017-09-02 08:00:54
"TempleNotre Dame",85,18.5,2017-09-02 08:00:54
"VanderbiltMiddle Tennessee",88,3,2017-09-02 08:00:54
"UC DavisSan Diego State",89,35,2017-09-02 08:00:54
"Texas A&MUCLA",90,3.5,2017-09-02 08:00:54
"West VirginiaVirginia Tech",91,4,2017-09-02 08:00:54
"TennesseeGeorgia Tech",92,3,2017-09-02 08:00:54
