"game_id","date","time","home_short","away_short","favorite","espn_spread","oddshark_spread","update_ts"
67,"2017-09-02","12:00 PM ","TEX","MD","TEX",17.5,18,2017-09-02 08:00:54
53,"2017-09-02","12:20 PM ","UNC","CAL","UNC",13,12.5,2017-09-02 08:00:54
47,"2017-09-02","12:30 PM ","MIAMI","BCU","MIAMI",51.5,NA,2017-09-02 08:00:54
27,"2017-09-02","2:00 PM ","AFA","VMI","AFA",28.5,28.5,2017-09-02 08:00:54
61,"2017-09-02","2:00 PM ","ORST","PRST","ORST",24.5,25,2017-09-02 08:00:54
81,"2017-09-02","3:00 PM ","SC","NCST","SC",6.5,6.5,2017-09-02 08:00:54
55,"2017-09-02","3:30 PM ","NW","NEV","NW",24,24,2017-09-02 08:00:54
56,"2017-09-02","3:30 PM ","OKLA","UTEP","OKLA",43,43,2017-09-02 08:00:54
70,"2017-09-02","3:30 PM ","UAB","AAMU","UAB",27.5,28,2017-09-02 08:00:54
76,"2017-09-02","3:30 PM ","UVA","W&M","UVA",20,20.5,2017-09-02 08:00:54
79,"2017-09-02","3:30 PM ","FLA","MICH","MICH",5,5,2017-09-02 08:00:54
85,"2017-09-02","3:30 PM ","ND","TEM","ND",18.5,18.5,2017-09-02 08:00:54
31,"2017-09-02","3:45 PM ","BSU","TROY","BSU",10.5,9.5,2017-09-02 08:00:54
49,"2017-09-02","4:00 PM ","MSST","CHSO","MSST",21.5,20.5,2017-09-02 08:00:54
69,"2017-09-02","4:00 PM ","TTU","EWU","TTU",9,7.5,2017-09-02 08:00:54
74,"2017-09-02","4:00 PM ","USF","STON","USF",33.5,NA,2017-09-02 08:00:54
86,"2017-09-02","4:00 PM ","USM","UK","UK",9.5,NA,2017-09-02 08:00:54
73,"2017-09-02","5:15 PM ","USC","WMU","USC",28,28,2017-09-02 08:00:54
34,"2017-09-02","6:00 PM ","DUKE","NCCU","DUKE",27,27.5,2017-09-02 08:00:54
35,"2017-09-02","6:00 PM ","ECU","JMU","JMU",7,7,2017-09-02 08:00:54
58,"2017-09-02","6:00 PM ","ODU","ALBY","ODU",19.5,NA,2017-09-02 08:00:54
37,"2017-09-02","6:15 PM ","UGA","APP","UGA",13.5,13,2017-09-02 08:00:54
46,"2017-09-02","6:30 PM ","MRSH","M-OH","M-OH",1.5,NA,2017-09-02 08:00:54
30,"2017-09-02","7:00 PM ","BAY","LIB","BAY",30.5,30.5,2017-09-02 08:00:54
33,"2017-09-02","7:00 PM ","CCU","UMASS","UMASS",2.5,NA,2017-09-02 08:00:54
42,"2017-09-02","7:00 PM ","KU","SEMO","KU",20.5,20,2017-09-02 08:00:54
44,"2017-09-02","7:00 PM ","ULL","SELA","ULL",15,NA,2017-09-02 08:00:54
45,"2017-09-02","7:00 PM ","LT","NWST","LT",40.5,NA,2017-09-02 08:00:54
54,"2017-09-02","7:00 PM ","UNT","LAM","UNT",20,20,2017-09-02 08:00:54
65,"2017-09-02","7:00 PM ","SMU","SFA","SMU",30.5,29,2017-09-02 08:00:54
68,"2017-09-02","7:00 PM ","TXST","HBU","TXST",24.5,24.5,2017-09-02 08:00:54
78,"2017-09-02","7:00 PM ","WKU","EKY","WKU",36,NA,2017-09-02 08:00:54
84,"2017-09-02","7:00 PM ","OHIO","HAMP","OHIO",36.5,36,2017-09-02 08:00:54
43,"2017-09-02","7:10 PM ","KSU","UCA","KSU",24.5,24.5,2017-09-02 08:00:54
29,"2017-09-02","7:30 PM ","AUB","GASO","AUB",34.5,34,2017-09-02 08:00:54
59,"2017-09-02","7:30 PM ","MISS","USA","MISS",23.5,23,2017-09-02 08:00:54
64,"2017-09-02","7:30 PM ","SJSU","CP","SJSU",7.5,NA,2017-09-02 08:00:54
82,"2017-09-02","7:30 PM ","PUR","LOU","LOU",25.5,25,2017-09-02 08:00:54
36,"2017-09-03","10:00 PM ","FRES","IW","FRES",32.5,32.5,2017-09-02 08:00:54
77,"2017-09-03","10:30 PM ","WSU","MTST","WSU",38,38,2017-09-02 08:00:54
28,"2017-09-03","11:00 PM ","ARIZ","NAU","ARIZ",24.5,24.5,2017-09-02 08:00:54
38,"2017-09-03","11:59 PM ","HAW","WCU","HAW",19.5,NA,2017-09-02 08:00:54
90,"2017-09-03","7:30 PM ","UCLA","TA&M","UCLA",4,3.5,2017-09-02 08:00:54
91,"2017-09-03","7:30 PM ","VT","WVU","VT",4,4,2017-09-02 08:00:54
41,"2017-09-03","8:00 PM ","ISU","UNI","ISU",9.5,8.5,2017-09-02 08:00:54
51,"2017-09-03","8:00 PM ","NEB","ARST","NEB",14,14,2017-09-02 08:00:54
52,"2017-09-03","8:00 PM ","UNM","ACU","UNM",33,33,2017-09-02 08:00:54
66,"2017-09-03","8:00 PM ","TCU","JKST","",NA,63,2017-09-02 08:00:54
80,"2017-09-03","8:00 PM ","ALA","FSU","ALA",7,7,2017-09-02 08:00:54
87,"2017-09-03","8:00 PM ","TULN","GRAM","TULN",15,NA,2017-09-02 08:00:54
88,"2017-09-03","8:00 PM ","MTSU","VAN","VAN",3,3,2017-09-02 08:00:54
60,"2017-09-03","8:15 PM ","ORE","SUU","ORE",31,31,2017-09-02 08:00:54
89,"2017-09-03","8:30 PM ","SDSU","UCD","SDSU",35,35,2017-09-02 08:00:54
72,"2017-09-03","9:00 PM ","UNLV","HOW","UNLV",44.5,44,2017-09-02 08:00:54
83,"2017-09-03","9:30 PM ","LSU","BYU","LSU",14.5,14.5,2017-09-02 08:00:54
92,"2017-09-05","8:00 PM ","GT","TENN","TENN",3,3,2017-09-02 08:00:54
