"game_id","date","time","home_short","away_short","favorite","espn_spread","oddshark_spread","update_ts"
1,"","","BYU","PRST","",NA,36.5,2017-09-02 08:00:54
2,"","","UMASS","HAW","",NA,NA,2017-09-02 08:00:54
3,"","","CSU","ORST","",NA,3.5,2017-09-02 08:00:54
4,"","","SJSU","USF","",NA,NA,2017-09-02 08:00:54
5,"","","RICE","STAN","",NA,30,2017-09-02 08:00:54
6,"","","ASU","NMSU","",NA,24.5,2017-09-02 08:00:54
7,"","","CMU","URI","",NA,34.5,2017-09-02 08:00:54
8,"","","CIN","PEAY","",NA,42,2017-09-02 08:00:54
9,"","","CONN","HC","",NA,NA,2017-09-02 08:00:54
10,"","","GAST","TNST","",NA,14.5,2017-09-02 08:00:54
11,"","","IND","OSU","",NA,20.5,2017-09-02 08:00:54
12,"","","MEM","ULM","",NA,NA,2017-09-02 08:00:54
13,"","","MINN","BUFF","",NA,22,2017-09-02 08:00:54
14,"","","TOL","ELON","",NA,45,2017-09-02 08:00:54
15,"","","UTAH","UND","",NA,20,2017-09-02 08:00:54
16,"","","WAKE","PRE","",NA,NA,2017-09-02 08:00:54
17,"","","ARK","FAMU","",NA,47,2017-09-02 08:00:54
18,"","","IDHO","SAC","",NA,21.5,2017-09-02 08:00:54
19,"","","EMU","CHAR","",NA,14,2017-09-02 08:00:54
20,"","","NIU","BC","",NA,NA,2017-09-02 08:00:54
21,"","","RUTG","WASH","",NA,28,2017-09-02 08:00:54
22,"","","SYR","CCSU","",NA,NA,2017-09-02 08:00:54
23,"","","WIS","USU","",NA,27.5,2017-09-02 08:00:54
24,"","","COLO","CSU","",NA,3,2017-09-02 08:00:54
25,"","","ARMY","FOR","",NA,19,2017-09-02 08:00:54
26,"","","FAU","NAVY","",NA,9,2017-09-02 08:00:54
57,"","","OKST","TLSA","",NA,20,2017-09-02 08:00:54
71,"","","UCF","FIU","",NA,NA,2017-09-02 08:00:54
75,"","","UTSA","HOU","",NA,NA,2017-09-02 08:00:54
63,"2017-09-02","1:00 PM ","PITT","YSU","PITT",14,14,2017-09-02 08:00:54
32,"2017-09-02","12:00 PM ","CLEM","KENT","CLEM",40,40,2017-09-02 08:00:54
39,"2017-09-02","12:00 PM ","ILL","BALL","ILL",6,5.5,2017-09-02 08:00:54
40,"2017-09-02","12:00 PM ","IOWA","WYO","IOWA",12.5,12,2017-09-02 08:00:54
48,"2017-09-02","12:00 PM ","MSU","BGSU","MSU",17,17,2017-09-02 08:00:54
50,"2017-09-02","12:00 PM ","MIZ","MOST","MIZ",36.5,35.5,2017-09-02 08:00:54
62,"2017-09-02","12:00 PM ","PSU","AKR","PSU",30.5,30.5,2017-09-02 08:00:54
