"matchup","game_id","oddshark_spread"
"Idaho StateUtah State",93,35
"OhioPurdue",94,3
"Arkansas-Pine BluffAkron",95,55
"Fresno StateAlabama",96,44
"Savannah StateAppalachian State",97,51
"HoustonArizona",98,1
"San Diego StateArizona State",99,3
"TCUArkansas",100,3
"UABBall State",102,14.5
"UTSABaylor",103,15.5
"Wake ForestBoston College",104,NA
"South DakotaBowling Green",105,4.5
"UtahBYU",106,2.5
"Weber StateCalifornia",107,28
"AuburnClemson",108,5
"Texas StateColorado",109,35.5
"Abilene ChristianColorado State",110,45
"NorthwesternDuke",112,2.5
"Jacksonville StateGeorgia Tech",116,17.5
"UNLVIdaho",117,6
"WKUIllinois",118,7.5
"IowaIowa State",119,3
"Central MichiganKansas",120,5
"CharlotteKansas State",121,34.5
"HowardKent State",122,35
"Eastern KentuckyKentucky",123,40
"ChattanoogaLSU",124,31.5
"TowsonMaryland",125,28
"Austin PeayMiami-OH",126,36.5
"CincinnatiMichigan",127,33.5
"Western MichiganMichigan State",128,7.5
"South CarolinaMissouri",129,2.5
"MarshallNC State",130,23.5
"ToledoNevada",131,10.5
"New Mexico StateNew Mexico",132,7
"LouisvilleNorth Carolina",133,10
"Eastern IllinoisNIU",134,17
"OklahomaOhio State",135,7.5
"Tennessee-MartinOle Miss",136,31.5
"NebraskaOregon",137,14
"MinnesotaOregon State",138,2
"PittsburghPenn State",139,21
"Eastern MichiganRutgers",140,5.5
"North TexasSMU",141,13.5
"Oklahoma StateSouth Alabama",142,28
"Southern UniversitySouthern Miss",143,24
"Middle TennesseeSyracuse",144,10.5
"VillanovaTemple",145,10
"Indiana StateTennessee",146,37.5
"San Jose StateTexas",147,26
"Nicholls StateTexas A&M",148,39
"Alabama StateTroy",149,43.5
"Louisiana-LafayetteTulsa",150,13.5
"HawaiiUCLA",152,23.5
"Old DominionMassachusetts",153,3.5
"StanfordUSC",154,5.5
"RiceUTEP",155,1
"Alabama A&MVanderbilt",156,50
"IndianaVirginia",157,3.5
"DelawareVirginia Tech",158,41.5
"MontanaWashington",159,40
"Boise StateWashington State",160,10
"East CarolinaWest Virginia",161,24.5
"Florida AtlanticWisconsin",162,33
"Gardner-WebbWyoming",163,29.5
"BuffaloArmy",164,14.5
"TulaneNavy",165,10
"New HampshireGeorgia Southern",166,7
"Mississippi StateLA Tech",168,9.5
"GeorgiaNotre Dame",169,5
"Alcorn StateFIU",NA,20
