"game_id","date","time","home_short","away_short","favorite","espn_spread","oddshark_spread","update_ts"
1,"","","BYU","PRST","",NA,36.5,2017-08-30 02:46:54
2,"","","UMASS","HAW","",NA,NA,2017-08-30 02:46:54
3,"","","CSU","ORST","",NA,3.5,2017-08-30 02:46:54
4,"","","SJSU","USF","",NA,NA,2017-08-30 02:46:54
5,"","","RICE","STAN","",NA,30,2017-08-30 02:46:54
6,"2017-09-01","7:30 PM PT","ASU","NMSU","ASU",23,22,2017-08-30 02:46:54
7,"2017-08-31","4:00 PM PT","CMU","URI","",NA,NA,2017-08-30 02:46:54
8,"2017-08-31","4:00 PM PT","CIN","PEAY","",NA,NA,2017-08-30 02:46:54
9,"2017-08-31","4:30 PM PT","CONN","HC","",NA,NA,2017-08-30 02:46:54
10,"2017-08-31","4:00 PM PT","GAST","TNST","",NA,NA,2017-08-30 02:46:54
11,"2017-09-01","5:00 PM PT","IND","OSU","OSU",20.5,21.5,2017-08-30 02:46:54
12,"2017-09-01","6:00 PM PT","MEM","ULM","MEM",26,NA,2017-08-30 02:46:54
13,"2017-08-31","4:00 PM PT","MINN","BUFF","MINN",26,24,2017-08-30 02:46:54
14,"2017-08-31","4:00 PM PT","TOL","ELON","",NA,NA,2017-08-30 02:46:54
15,"2017-08-31","4:30 PM PT","UTAH","UND","",NA,NA,2017-08-30 02:46:54
16,"2017-08-31","3:30 PM PT","WAKE","PRE","",NA,NA,2017-08-30 02:46:54
17,"2017-09-01","5:00 PM PT","ARK","FAMU","",NA,NA,2017-08-30 02:46:54
18,"2017-09-01","6:00 PM PT","IDHO","SAC","",NA,NA,2017-08-30 02:46:54
19,"2017-09-01","3:30 PM PT","EMU","CHAR","EMU",14,14,2017-08-30 02:46:54
20,"2017-09-02","6:30 PM PT","NIU","BC","BC",2.5,NA,2017-08-30 02:46:54
21,"2017-09-02","5:00 PM PT","RUTG","WASH","WASH",27.5,27.5,2017-08-30 02:46:54
22,"2017-09-01","4:00 PM PT","SYR","CCSU","",NA,NA,2017-08-30 02:46:54
23,"2017-09-02","6:00 PM PT","WIS","USU","WIS",28.5,28.5,2017-08-30 02:46:54
24,"2017-09-02","5:00 PM PT","COLO","CSU","",NA,5,2017-08-30 02:46:54
25,"2017-09-01","3:00 PM PT","ARMY","FOR","",NA,NA,2017-08-30 02:46:54
26,"2017-09-02","5:00 PM PT","FAU","NAVY","NAVY",10,9,2017-08-30 02:46:54
27,"2017-09-02","11:00 AM PT","AFA","VMI","",NA,NA,2017-08-30 02:46:54
28,"2017-09-03","8:00 PM PT","ARIZ","NAU","",NA,NA,2017-08-30 02:46:54
29,"2017-09-02","4:30 PM PT","AUB","GASO","AUB",34.5,34.5,2017-08-30 02:46:54
30,"2017-09-02","4:00 PM PT","BAY","LIB","",NA,NA,2017-08-30 02:46:54
31,"2017-09-02","12:45 PM PT","BSU","TROY","BSU",11,11,2017-08-30 02:46:54
32,"2017-09-02","9:00 AM PT","CLEM","KENT","CLEM",39.5,39.5,2017-08-30 02:46:54
33,"2017-09-02","4:00 PM PT","CCU","UMASS","UMASS",2.5,NA,2017-08-30 02:46:54
