"game_id","date","time","home_short","away_short","favorite","espn_spread","oddshark_spread","update_ts"
34,"2017-09-02","3:00 PM PT","DUKE","NCCU","",NA,NA,2017-08-30 02:46:54
35,"2017-09-02","3:00 PM PT","ECU","JMU","",NA,NA,2017-08-30 02:46:54
36,"2017-09-03","7:00 PM PT","FRES","IW","",NA,NA,2017-08-30 02:46:54
37,"2017-09-02","3:15 PM PT","UGA","APP","UGA",14.5,14,2017-08-30 02:46:54
38,"2017-09-03","8:59 PM PT","HAW","WCU","",NA,NA,2017-08-30 02:46:54
39,"2017-09-02","9:00 AM PT","ILL","BALL","ILL",6.5,6.5,2017-08-30 02:46:54
40,"2017-09-02","9:00 AM PT","IOWA","WYO","IOWA",11.5,11.5,2017-08-30 02:46:54
41,"2017-09-03","5:00 PM PT","ISU","UNI","",NA,NA,2017-08-30 02:46:54
42,"2017-09-02","4:00 PM PT","KU","SEMO","",NA,NA,2017-08-30 02:46:54
43,"2017-09-02","4:10 PM PT","KSU","UCA","",NA,NA,2017-08-30 02:46:54
44,"2017-09-02","4:00 PM PT","ULL","SELA","",NA,NA,2017-08-30 02:46:54
45,"2017-09-02","4:00 PM PT","LT","NWST","",NA,NA,2017-08-30 02:46:54
46,"2017-09-02","3:30 PM PT","MRSH","M-OH","MRSH",2,NA,2017-08-30 02:46:54
47,"2017-09-02","9:30 AM PT","MIAMI","BCU","",NA,NA,2017-08-30 02:46:54
48,"2017-09-02","9:00 AM PT","MSU","BGSU","MSU",17,17.5,2017-08-30 02:46:54
49,"2017-09-02","1:00 PM PT","MSST","CHSO","",NA,NA,2017-08-30 02:46:54
50,"2017-09-02","9:00 AM PT","MIZ","MOST","",NA,NA,2017-08-30 02:46:54
51,"2017-09-03","5:00 PM PT","NEB","ARST","NEB",16,16,2017-08-30 02:46:54
52,"2017-09-03","5:00 PM PT","UNM","ACU","",NA,NA,2017-08-30 02:46:54
53,"2017-09-02","9:20 AM PT","UNC","CAL","UNC",11,12,2017-08-30 02:46:54
54,"2017-09-02","4:00 PM PT","UNT","LAM","",NA,NA,2017-08-30 02:46:54
55,"2017-09-02","12:30 PM PT","NW","NEV","NW",24.5,24,2017-08-30 02:46:54
56,"2017-09-02","12:30 PM PT","OKLA","UTEP","OKLA",43,42.5,2017-08-30 02:46:54
57,"2017-08-31","4:30 PM PT","OKST","TLSA","OKST",18,17.5,2017-08-30 02:46:54
58,"2017-09-02","3:00 PM PT","ODU","ALBY","",NA,NA,2017-08-30 02:46:54
59,"2017-09-02","4:30 PM PT","MISS","USA","MISS",24,24,2017-08-30 02:46:54
60,"2017-09-03","5:15 PM PT","ORE","SUU","",NA,NA,2017-08-30 02:46:54
61,"2017-09-02","11:00 AM PT","ORST","PRST","",NA,NA,2017-08-30 02:46:54
62,"2017-09-02","9:00 AM PT","PSU","AKR","PSU",30.5,30,2017-08-30 02:46:54
63,"2017-09-02","10:00 AM PT","PITT","YSU","",NA,NA,2017-08-30 02:46:54
64,"2017-09-02","4:30 PM PT","SJSU","CP","",NA,NA,2017-08-30 02:46:54
65,"2017-09-02","4:00 PM PT","SMU","SFA","",NA,NA,2017-08-30 02:46:54
66,"2017-09-03","5:00 PM PT","TCU","JKST","",NA,NA,2017-08-30 02:46:54
67,"2017-09-02","9:00 AM PT","TEX","MD","TEX",18.5,18.5,2017-08-30 02:46:54
68,"2017-09-02","4:00 PM PT","TXST","HBU","",NA,NA,2017-08-30 02:46:54
69,"2017-09-02","1:00 PM PT","TTU","EWU","",NA,NA,2017-08-30 02:46:54
70,"2017-09-02","12:30 PM PT","UAB","AAMU","",NA,NA,2017-08-30 02:46:54
71,"2017-08-31","3:00 PM PT","UCF","FIU","UCF",17,NA,2017-08-30 02:46:54
72,"2017-09-03","6:00 PM PT","UNLV","HOW","",NA,NA,2017-08-30 02:46:54
73,"2017-09-02","2:15 PM PT","USC","WMU","USC",27,26.5,2017-08-30 02:46:54
74,"2017-09-02","1:00 PM PT","USF","STON","",NA,NA,2017-08-30 02:46:54
75,"","","UTSA","HOU","",NA,NA,2017-08-30 02:46:54
76,"2017-09-02","12:30 PM PT","UVA","W&M","",NA,NA,2017-08-30 02:46:54
77,"2017-09-03","7:30 PM PT","WSU","MTST","",NA,NA,2017-08-30 02:46:54
78,"2017-09-02","4:00 PM PT","WKU","EKY","",NA,NA,2017-08-30 02:46:54
79,"2017-09-02","12:30 PM PT","FLA","MICH","MICH",3.5,3.5,2017-08-30 02:46:54
80,"2017-09-03","5:00 PM PT","ALA","FSU","ALA",7,NA,2017-08-30 02:46:54
81,"2017-09-02","12:00 PM PT","SC","NCST","",NA,NA,2017-08-30 02:46:54
82,"2017-09-02","4:30 PM PT","PUR","LOU","LOU",25,24.5,2017-08-30 02:46:54
83,"2017-09-03","6:30 PM PT","LSU","BYU","LSU",16.5,16,2017-08-30 02:46:54
84,"2017-09-02","4:00 PM PT","OHIO","HAMP","",NA,NA,2017-08-30 02:46:54
85,"2017-09-02","12:30 PM PT","ND","TEM","ND",18.5,18.5,2017-08-30 02:46:54
86,"2017-09-02","1:00 PM PT","USM","UK","UK",10,NA,2017-08-30 02:46:54
87,"2017-09-03","5:00 PM PT","TULN","GRAM","",NA,NA,2017-08-30 02:46:54
88,"2017-09-03","5:00 PM PT","MTSU","VAN","VAN",3,3.5,2017-08-30 02:46:54
89,"2017-09-03","5:30 PM PT","SDSU","UCD","",NA,NA,2017-08-30 02:46:54
90,"2017-09-03","4:30 PM PT","UCLA","TA&M","UCLA",4,3.5,2017-08-30 02:46:54
91,"2017-09-03","4:30 PM PT","VT","WVU","VT",4,4,2017-08-30 02:46:54
92,"2017-09-05","5:00 PM PT","GT","TENN","TENN",3,3,2017-08-30 02:46:54
