"matchup","game_id","oddshark_spread","update_ts"
"Portland StateBYU",1,36.5,2017-08-30 02:36:01
"Oregon StateColorado State",3,3.5,2017-08-30 02:36:01
"StanfordRice",5,30,2017-08-30 02:36:01
"New Mexico StateArizona State",6,22,2017-08-30 02:36:01
"Rhode IslandCentral Michigan",7,NA,2017-08-30 02:36:01
"Austin PeayCincinnati",8,NA,2017-08-30 02:36:01
"Tennessee StateGeorgia State",10,NA,2017-08-30 02:36:01
"Ohio StateIndiana",11,21.5,2017-08-30 02:36:01
"BuffaloMinnesota",13,24,2017-08-30 02:36:01
"ElonToledo",14,NA,2017-08-30 02:36:01
"North DakotaUtah",15,NA,2017-08-30 02:36:01
"Florida A&MArkansas",17,NA,2017-08-30 02:36:01
"Sacramento StateIdaho",18,NA,2017-08-30 02:36:01
"CharlotteEastern Michigan",19,14,2017-08-30 02:36:01
"WashingtonRutgers",21,27.5,2017-08-30 02:36:01
"Utah StateWisconsin",23,28.5,2017-08-30 02:36:01
"Colorado StateColorado",24,5,2017-08-30 02:36:01
"FordhamArmy",25,NA,2017-08-30 02:36:01
"NavyFlorida Atlantic",26,9,2017-08-30 02:36:01
"VMIAir Force",27,NA,2017-08-30 02:36:01
"Northern ArizonaArizona",28,NA,2017-08-30 02:36:01
"Georgia SouthernAuburn",29,34.5,2017-08-30 02:36:01
"LibertyBaylor",30,NA,2017-08-30 02:36:01
"TroyBoise State",31,11,2017-08-30 02:36:01
"Kent StateClemson",32,39.5,2017-08-30 02:36:01
"North Carolina CentralDuke",34,NA,2017-08-30 02:36:01
"James MadisonEast Carolina",35,NA,2017-08-30 02:36:01
"Incarnate WordFresno State",36,NA,2017-08-30 02:36:01
"Appalachian StateGeorgia",37,14,2017-08-30 02:36:01
"Ball StateIllinois",39,6.5,2017-08-30 02:36:01
"WyomingIowa",40,11.5,2017-08-30 02:36:01
"Northern IowaIowa State",41,NA,2017-08-30 02:36:01
"Southeast Missouri StateKansas",42,NA,2017-08-30 02:36:01
"Central ArkansasKansas State",43,NA,2017-08-30 02:36:01
"Bowling GreenMichigan State",48,17.5,2017-08-30 02:36:01
"Charleston SouthernMississippi State",49,NA,2017-08-30 02:36:01
"Missouri StateMissouri",50,NA,2017-08-30 02:36:01
"Arkansas StateNebraska",51,16,2017-08-30 02:36:01
"Abilene ChristianNew Mexico",52,NA,2017-08-30 02:36:01
"CaliforniaNorth Carolina",53,12,2017-08-30 02:36:01
"LamarNorth Texas",54,NA,2017-08-30 02:36:01
"NevadaNorthwestern",55,24,2017-08-30 02:36:01
"UTEPOklahoma",56,42.5,2017-08-30 02:36:01
"TulsaOklahoma State",57,17.5,2017-08-30 02:36:01
"South AlabamaOle Miss",59,24,2017-08-30 02:36:01
"Southern UtahOregon",60,NA,2017-08-30 02:36:01
"Portland StateOregon State",61,NA,2017-08-30 02:36:01
"AkronPenn State",62,30,2017-08-30 02:36:01
"Youngstown StatePittsburgh",63,NA,2017-08-30 02:36:01
"Stephen F. AustinSMU",65,NA,2017-08-30 02:36:01
"Jackson StateTCU",66,NA,2017-08-30 02:36:01
"MarylandTexas",67,18.5,2017-08-30 02:36:01
"Houston BaptistTexas State",68,NA,2017-08-30 02:36:01
"Eastern WashingtonTexas Tech",69,NA,2017-08-30 02:36:01
"Alabama A&MUAB",70,NA,2017-08-30 02:36:01
"HowardUNLV",72,NA,2017-08-30 02:36:01
"Western MichiganUSC",73,26.5,2017-08-30 02:36:01
"William & MaryVirginia",76,NA,2017-08-30 02:36:01
"Montana StateWashington State",77,NA,2017-08-30 02:36:01
"MichiganFlorida",79,3.5,2017-08-30 02:36:01
"LouisvillePurdue",82,24.5,2017-08-30 02:36:01
"BYULSU",83,16,2017-08-30 02:36:01
"HamptonOhio",84,NA,2017-08-30 02:36:01
"TempleNotre Dame",85,18.5,2017-08-30 02:36:01
"VanderbiltMiddle Tennessee",88,3.5,2017-08-30 02:36:01
"UC DavisSan Diego State",89,NA,2017-08-30 02:36:01
"Texas A&MUCLA",90,3.5,2017-08-30 02:36:01
"West VirginiaVirginia Tech",91,4,2017-08-30 02:36:01
"TennesseeGeorgia Tech",92,3,2017-08-30 02:36:01
