team_id,true_team_name,oddsshark_team,espn_team_name,mascot,city,state,conference,division,primary_color_id,secondary_color_id
221,Tulsa,Tulsa,Tulsa,Golden Hurricane,Tulsa,OK,American,FBS,#c5b783,#002d72
222,UAB,UAB,UAB,Blazers,Birmingham,AL,C-USA,FBS,#054338,#040504
223,UC Davis,UC Davis,UC Davis,Aggies,Davis,CA,Big Sky,FCS,#183563,#CB992B
224,UCF,UCF,UCF,Knights,Orlando,FL,American,FBS,#000000,#BA9B37
225,UCLA,UCLA,UCLA,Bruins,Los Angeles,CA,Pac-12,FBS,#0072ce,#ffc72c
226,UNLV,UNLV,UNLV,Rebels,Las Vegas,NV,Mountain West,FBS,#B10202,#666666
227,USC,USC,USC,Trojans,Los Angeles,CA,Pac-12,FBS,#990000,#FFCC00
228,UT Martin,Tennessee-Martin,UT Martin,Skyhawks,Martin,TN,Ohio Valley,FCS,#FF6700,#000099
229,Utah,Utah,Utah,Utes,Salt Lake City,UT,Pac-12,FBS,#CC0000,#FFFFFF
230,Utah State,Utah State,Utah State,Aggies,Logan,UT,Mountain West,FBS,#0F2439,#FFFFFF
231,UTEP,UTEP,UTEP,Miners,El Paso,TX,C-USA,FBS,#002147,#FF5600
232,UTSA,UTSA,UT San Antonio,Roadrunners,San Antonio,TX,C-USA,FBS,#0c2340,#FFFFFF
233,Valparaiso,,Valparaiso,Crusaders,Valparaiso,IN,Pioneer,FCS,#794500,#FFD204
234,Vanderbilt,Vanderbilt,Vanderbilt,Commodores,Nashville,TN,SEC,FBS,#000000,#997F3D
235,Villanova,Villanova,Villanova,Wildcats,Villanova,PA,CAA,FCS,#123d7C,#FFFFFF
236,Virginia,Virginia,Virginia,Cavaliers,Charlottesville,VA,ACC,FBS,#041e42,#fa4616
237,Virginia Tech,Virginia Tech,Virginia Tech,Hokies,Blacksburg,VA,ACC,FBS,#660000,#FF6600
238,VMI,VMI,VMI,Keydets,Lexington,VA,Southern,FCS,#000000,#E52D37
239,Wagner,Wagner,Wagner,Seahawks,New York,NY,Northeast,FCS,#00483A,#FFFFFF
