team_id,true_team_name,oddsshark_team,espn_team_name,mascot,city,state,conference,division,primary_color_id,secondary_color_id
152,Northern Arizona,Northern Arizona,Northern Arizona,Lumberjacks,Flagstaff,AZ,Big Sky,FCS,#003976,#FFFFFF
153,Northern Colorado,Northern Colorado,Northern Colorado,Bears,Greeley,CO,Big Sky,FCS,#13558D,#F9D245
154,Northern Iowa,Northern Iowa,Northern Iowa,Panthers,Cedar Falls,IA,Missouri Valley,FCS,#473282,#E4AE2F
155,Northwestern,Northwestern,Northwestern,Wildcats,Evanston,IL,Big Ten,FBS,#4E2A84,#FFFFFF
156,Northwestern State,Northwestern State,Northwestern State,Demons,Natchitoches,LA,Southland,FCS,#492F91,#F68428
157,Notre Dame,Notre Dame,Notre Dame,Fighting Irish,South Bend,IN,Independent,FBS,#0C2340,#C99700
158,Ohio,Ohio,Ohio,Bobcats,Athens,OH,MAC,FBS,#00694E,#FFFFFF
159,Ohio State,Ohio State,Ohio State,Buckeyes,Columbus,OH,Big Ten,FBS,#bb0000,#666666
160,Oklahoma,Oklahoma,Oklahoma,Sooners,Norman,OK,Big 12,FBS,#841617,#FDF9D8
161,Oklahoma State,Oklahoma State,Oklahoma State,Cowboys,Stillwater,OK,Big 12,FBS,#FF7300,#000000
162,Old Dominion,Old Dominion,Old Dominion,Monarchs,Norfolk,VA,C-USA,FBS,#05344C,#7c878e
163,Ole Miss,Ole Miss,Ole Miss,Rebels,Oxford,MS,SEC,FBS,#00205b,#c8102e
