"game_id","matchup","time","favorite","espn_spread","oddshark_spread","spread","update.ts"
157,"Indiana @ Virginia"," 15:30:00","IND",3,3,3,2017-09-06 11:52:16
158,"Delaware @ Virginia Tech"," 15:30:00","",NA,NA,NA,2017-09-06 11:52:16
159,"Montana @ Washington"," 20:00:00","",NA,NA,NA,2017-09-06 11:52:16
160,"Boise State @ Washington State"," 22:30:00","WSU",10,10.5,10,2017-09-06 11:52:16
161,"East Carolina @ West Virginia"," 12:00:00","WVU",24,24,24,2017-09-06 11:52:16
162,"Florida Atlantic @ Wisconsin"," 12:00:00","WIS",32,32,32,2017-09-06 11:52:16
163,"Gardner-Webb @ Wyoming"," 16:00:00","",NA,NA,NA,2017-09-06 11:52:16
164,"Buffalo @ Army"," 12:00:00","ARMY",16.5,16.5,16.5,2017-09-06 11:52:16
165,"Tulane @ Navy"," 15:30:00","NAVY",13.5,13.5,13.5,2017-09-06 11:52:16
166,"New Hampshire @ Georgia Southern"," 18:00:00","",NA,NA,NA,2017-09-06 11:52:16
168,"Mississippi State @ Louisiana Tech"," 19:30:00","MSST",8.5,8,8.5,2017-09-06 11:52:16
169,"Georgia @ Notre Dame"," 19:30:00","ND",4.5,4.5,4.5,2017-09-06 11:52:16
